#chrom	coord	total	dtotal	T12	T34	T1234	DFO_left	DFO_right	DFO_total	DFO_stat	DFO_chisq	DFO_Pvalue	DIL_left	DIL_right	DIL_total	DIL_stat	DIL_chisq	DIL_Pvalue	DFI_left	DFI_right	DFI_total	DFI_stat	DFI_chisq	DFI_Pvalue	DOL_left	DOL_right	DOL_total	DOL_stat	DOL_chisq	DOL_Pvalue	introgression	introgna	intrognone	introg13	introg14	introg23	introg24	introg31	introg41	introg32	introg42	introg123	introg124
1	1	497031	9369.0	0.00406413282069	0.00379050803672	0.0043226680026	1834.0	3105.0	4939.0	-0.257339542417	327.078558413	0.0	1914.0	3025.0	4939.0	-0.224944320713	249.913140312	0.0	2975.0	2237.0	5212.0	0.141596316193	104.498081351	0.0	3055.0	2157.0	5212.0	0.172294704528	154.720644666	0.0	none	0	1	0	0	0	0	0	0	0	0	0	0
1	500000	497337	3980.0	0.00164677070075	0.00212330874236	0.00193932886554	668.0	1649.0	2317.0	-0.423392317652	415.347863617	0.0	646.0	1671.0	2317.0	-0.442382391023	453.441950798	0.0	1429.0	350.0	1779.0	0.606520517144	654.435637999	0.0	1407.0	372.0	1779.0	0.581787521079	602.150084317	0.0	none	0	1	0	0	0	0	0	0	0	0	0	0
1	999999	497298	3672.0	0.00145486207465	0.00197567655611	0.0017383942827	558.0	1638.0	2196.0	-0.491803278689	531.147540984	0.0	517.0	1679.0	2196.0	-0.529143897996	614.865209472	0.0	1330.0	275.0	1605.0	0.657320872274	693.473520249	0.0	1289.0	316.0	1605.0	0.606230529595	589.862305296	0.0	none	0	1	0	0	0	0	0	0	0	0	0	0
1	1499998	498456	4370.0	0.00178651676377	0.00222487039979	0.00202274624039	642.0	1817.0	2459.0	-0.47783651891	561.457909719	0.0	584.0	1875.0	2459.0	-0.525010166734	677.788125254	0.0	1764.0	319.0	2083.0	0.693710993759	1002.41238598	0.0	1706.0	377.0	2083.0	0.638022083533	847.931349016	0.0	none	0	1	0	0	0	0	0	0	0	0	0	0
1	1999997	497563	4146.0	0.00162291006365	0.00219369205508	0.00194749207638	618.0	1844.0	2462.0	-0.497969130788	610.510154346	0.0	573.0	1889.0	2462.0	-0.534524776604	703.434606011	0.0	1433.0	386.0	1819.0	0.575590984057	602.643760308	0.0	1388.0	431.0	1819.0	0.526113249038	503.490379329	0.0	none	0	1	0	0	0	0	0	0	0	0	0	0
1	2499996	498128	4724.0	0.00183486975235	0.0024230719815	0.00217213246395	981.0	1834.0	2815.0	-0.303019538188	258.475666075	0.0	855.0	1960.0	2815.0	-0.392539964476	433.756660746	0.0	1688.0	497.0	2185.0	0.545080091533	649.190389016	0.0	1562.0	623.0	2185.0	0.429748283753	403.533638444	0.0	none	0	1	0	0	0	0	0	0	0	0	0	0
1	2999995	497682	4153.0	0.00168682009797	0.00211580889001	0.00194551942807	829.0	1585.0	2414.0	-0.313173156587	236.758906379	0.0	735.0	1679.0	2414.0	-0.391052195526	369.153272577	0.0	1486.0	453.0	1939.0	0.532748839608	550.329551315	0.0	1392.0	547.0	1939.0	0.435791645178	368.243940175	0.0	none	0	1	0	0	0	0	0	0	0	0	0	0
1	3499994	498287	3891.0	0.00161954857341	0.0019958377401	0.00183478597676	635.0	1559.0	2194.0	-0.421148587056	389.141294439	0.0	648.0	1546.0	2194.0	-0.409298085688	367.549680948	0.0	1407.0	413.0	1820.0	0.546153846154	542.876923077	0.0	1420.0	400.0	1820.0	0.56043956044	571.648351648	0.0	none	0	1	0	0	0	0	0	0	0	0	0	0
1	3999993	497826	4339.0	0.00171847191589	0.00221563357478	0.00200320995689	807.0	1742.0	2549.0	-0.366810513927	342.967830522	0.0	719.0	1830.0	2549.0	-0.435857198902	484.23734798	0.0	1474.0	584.0	2058.0	0.432458697765	384.888241011	0.0	1386.0	672.0	2058.0	0.34693877551	247.714285714	0.0	none	0	1	0	0	0	0	0	0	0	0	0	0
1	4499992	498057	3743.0	0.00157512091989	0.00201683743025	0.00190138879686	654.0	1487.0	2141.0	-0.389070527791	324.09574965	0.0	640.0	1501.0	2141.0	-0.402148528725	346.249883232	0.0	1369.0	321.0	1690.0	0.620118343195	649.884023669	0.0	1355.0	335.0	1690.0	0.603550295858	615.621301775	0.0	none	0	1	0	0	0	0	0	0	0	0	0	0
1	4999991	497899	4664.0	0.0018216545926	0.00239606827891	0.00219120745372	990.0	1811.0	2801.0	-0.293109603713	240.642984648	0.0	982.0	1819.0	2801.0	-0.29882184934	250.113887897	0.0	1528.0	609.0	2137.0	0.430042115115	395.20870379	0.0	1520.0	617.0	2137.0	0.422554983622	381.567150211	0.0	none	0	1	0	0	0	0	0	0	0	0	0	0
1	5499990	497865	4306.0	0.00167314432627	0.0020828939572	0.00197342653129	1013.0	1535.0	2548.0	-0.204866562009	106.940345369	0.0	952.0	1596.0	2548.0	-0.252747252747	162.769230769	0.0	1570.0	459.0	2029.0	0.547560374569	608.339576146	0.0	1509.0	520.0	2029.0	0.487432232627	482.070478068	0.0	none	0	1	0	0	0	0	0	0	0	0	0	0
