scaffold,position,start,end,midpoint,sites,sitesOverMinExD,ABBA,BABA,D,fG,fhom,fd
HE669515,2500,1,5001,552,743,NA,NA,NA,NA,NA,NA,NA
HE669513,2500,1,5001,2501,4960,4676,NA,NA,NA,NA,NA,NA
HE669513,7500,5001,10001,7501,4968,4777,NA,NA,NA,NA,NA,NA
HE669513,12500,10001,15001,10518,974,NA,NA,NA,NA,NA,NA,NA
HE669511,2500,1,5001,2567,3109,2218,NA,NA,NA,NA,NA,NA
HE669511,7500,5001,10001,7501,4682,4257,NA,NA,NA,NA,NA,NA
HE669511,12500,10001,15001,12132,4065,3506,NA,NA,NA,NA,NA,NA
HE669511,17500,15001,20001,NA,0,NA,NA,NA,NA,NA,NA,NA
HE669509,2500,1,5001,1024,1278,24,0.0,0.0,NA,NA,NA,NA
HE669509,7500,5001,10001,NA,0,NA,NA,NA,NA,NA,NA,NA
HE669507,2500,1,5001,2582,4451,3389,NA,NA,NA,NA,NA,NA
HE669507,7500,5001,10001,7501,4974,4692,NA,NA,NA,NA,NA,NA
HE669507,12500,10001,15001,12501,4950,4728,NA,NA,NA,NA,NA,NA
HE669507,17500,15001,20001,15007,12,NA,NA,NA,NA,NA,NA,NA
HE669505,2500,1,5001,2518,3415,2185,NA,NA,NA,NA,NA,NA
HE669505,7500,5001,10001,6986,3578,2632,NA,NA,NA,NA,NA,NA
HE669505,12500,10001,15001,NA,0,NA,NA,NA,NA,NA,NA,NA
HE669503,2500,1,5001,1834,1867,1667,NA,NA,NA,NA,NA,NA
HE669503,7500,5001,10001,NA,0,NA,NA,NA,NA,NA,NA,NA
HE669501,2500,1,5001,2501,4080,3179,NA,NA,NA,NA,NA,NA
HE669501,7500,5001,10001,7501,4953,4555,NA,NA,NA,NA,NA,NA
HE669501,12500,10001,15001,12348,4562,4341,NA,NA,NA,NA,NA,NA
HE669501,17500,15001,20001,NA,0,NA,NA,NA,NA,NA,NA,NA
HE669499,2500,1,5001,2532,4351,3402,NA,NA,NA,NA,NA,NA
HE669499,7500,5001,10001,7501,4775,4032,NA,NA,NA,NA,NA,NA
HE669499,12500,10001,15001,12501,4469,4069,NA,NA,NA,NA,NA,NA
HE669499,17500,15001,20001,17501,3809,2571,NA,NA,NA,NA,NA,NA
HE669499,22500,20001,25001,21904,3457,2516,NA,NA,NA,NA,NA,NA
HE669499,27500,25001,30001,NA,0,NA,NA,NA,NA,NA,NA,NA
HE669497,2500,1,5001,2512,4933,4766,NA,NA,NA,NA,NA,NA
HE669497,7500,5001,10001,7501,3770,3248,NA,NA,NA,NA,NA,NA
HE669497,12500,10001,15001,12501,4950,4723,NA,NA,NA,NA,NA,NA
HE669497,17500,15001,20001,17501,4874,4135,NA,NA,NA,NA,NA,NA
HE669497,22500,20001,25001,22501,3036,2046,NA,NA,NA,NA,NA,NA
HE669497,27500,25001,30001,27501,4607,4312,NA,NA,NA,NA,NA,NA
HE669497,32500,30001,35001,32501,4969,4897,NA,NA,NA,NA,NA,NA
HE669497,37500,35001,40001,36494,2981,2912,NA,NA,NA,NA,NA,NA
HE669497,42500,40001,45001,NA,0,NA,NA,NA,NA,NA,NA,NA
HE669495,2500,1,5001,2134,3532,3129,NA,NA,NA,NA,NA,NA
HE669495,7500,5001,10001,7700,4459,4280,NA,NA,NA,NA,NA,NA
HE669495,12500,10001,15001,12501,4987,4970,NA,NA,NA,NA,NA,NA
HE669495,17500,15001,20001,17501,4991,4977,NA,NA,NA,NA,NA,NA
HE669495,22500,20001,25001,22501,4987,4977,NA,NA,NA,NA,NA,NA
HE669495,27500,25001,30001,27501,4966,4932,NA,NA,NA,NA,NA,NA
HE669495,32500,30001,35001,32501,4996,4940,NA,NA,NA,NA,NA,NA
HE669495,37500,35001,40001,37501,4993,4984,NA,NA,NA,NA,NA,NA
HE669495,42500,40001,45001,42501,4252,4074,NA,NA,NA,NA,NA,NA
HE669495,47500,45001,50001,47501,4314,4169,NA,NA,NA,NA,NA,NA
HE669495,52500,50001,55001,52501,4992,4887,NA,NA,NA,NA,NA,NA
HE669495,57500,55001,60001,57501,4827,4552,NA,NA,NA,NA,NA,NA
HE669495,62500,60001,65001,62501,3987,2308,NA,NA,NA,NA,NA,NA
HE669495,67500,65001,70001,67501,4759,4472,NA,NA,NA,NA,NA,NA
HE669495,72500,70001,75001,72501,4065,3071,NA,NA,NA,NA,NA,NA
HE669495,77500,75001,80001,77501,4994,4843,NA,NA,NA,NA,NA,NA
HE669495,82500,80001,85001,82501,4998,4981,NA,NA,NA,NA,NA,NA
HE669495,87500,85001,90001,87501,4979,4829,NA,NA,NA,NA,NA,NA
HE669495,92500,90001,95001,90152,234,NA,NA,NA,NA,NA,NA,NA
HE669493,2500,1,5001,2616,3839,3323,NA,NA,NA,NA,NA,NA
HE669493,7500,5001,10001,7501,4957,4535,NA,NA,NA,NA,NA,NA
HE669493,12500,10001,15001,12501,4173,3945,NA,NA,NA,NA,NA,NA
HE669493,17500,15001,20001,17501,3562,3114,NA,NA,NA,NA,NA,NA
HE669493,22500,20001,25001,22501,4976,4861,NA,NA,NA,NA,NA,NA
HE669493,27500,25001,30001,27396,4681,4214,NA,NA,NA,NA,NA,NA
HE669493,32500,30001,35001,32572,4753,4196,NA,NA,NA,NA,NA,NA
HE669493,37500,35001,40001,37500,4810,4217,NA,NA,NA,NA,NA,NA
HE669493,42500,40001,45001,42503,3547,3293,NA,NA,NA,NA,NA,NA
HE669493,47500,45001,50001,46521,2990,2522,NA,NA,NA,NA,NA,NA
HE669493,52500,50001,55001,NA,0,NA,NA,NA,NA,NA,NA,NA
HE669491,2500,1,5001,934,1005,541,NA,NA,NA,NA,NA,NA
HE669491,7500,5001,10001,NA,0,NA,NA,NA,NA,NA,NA,NA
HE669489,2500,1,5001,2710,4387,4096,NA,NA,NA,NA,NA,NA
HE669489,7500,5001,10001,7501,4810,4635,NA,NA,NA,NA,NA,NA
HE669489,12500,10001,15001,12501,4918,4760,NA,NA,NA,NA,NA,NA
HE669489,17500,15001,20001,17501,4260,3777,NA,NA,NA,NA,NA,NA
HE669489,22500,20001,25001,22501,4951,4695,NA,NA,NA,NA,NA,NA
HE669489,27500,25001,30001,27501,4878,4665,NA,NA,NA,NA,NA,NA
HE669489,32500,30001,35001,32501,4961,4825,NA,NA,NA,NA,NA,NA
HE669489,37500,35001,40001,37501,4919,4764,NA,NA,NA,NA,NA,NA
HE669489,42500,40001,45001,42501,4857,4428,NA,NA,NA,NA,NA,NA
HE669489,47500,45001,50001,47501,4956,4838,NA,NA,NA,NA,NA,NA
HE669489,52500,50001,55001,52501,4943,4594,NA,NA,NA,NA,NA,NA
HE669489,57500,55001,60001,57501,4917,4604,NA,NA,NA,NA,NA,NA
HE669489,62500,60001,65001,60298,569,NA,NA,NA,NA,NA,NA,NA
HE669487,2500,1,5001,2522,4731,3420,NA,NA,NA,NA,NA,NA
HE669487,7500,5001,10001,7501,4441,3753,NA,NA,NA,NA,NA,NA
HE669487,12500,10001,15001,12499,4349,3548,NA,NA,NA,NA,NA,NA
HE669487,17500,15001,20001,17521,4103,3742,NA,NA,NA,NA,NA,NA
HE669487,22500,20001,25001,22501,4955,4708,NA,NA,NA,NA,NA,NA
HE669487,27500,25001,30001,27501,3274,2877,NA,NA,NA,NA,NA,NA
HE669487,32500,30001,35001,32501,4983,4870,NA,NA,NA,NA,NA,NA
HE669487,37500,35001,40001,37501,4974,4841,NA,NA,NA,NA,NA,NA
HE669487,42500,40001,45001,42501,4947,4907,NA,NA,NA,NA,NA,NA
HE669487,47500,45001,50001,47501,4968,4866,NA,NA,NA,NA,NA,NA
HE669487,52500,50001,55001,52501,4964,4822,NA,NA,NA,NA,NA,NA
HE669487,57500,55001,60001,57501,4893,4772,NA,NA,NA,NA,NA,NA
HE669487,62500,60001,65001,62501,4410,4140,NA,NA,NA,NA,NA,NA
HE669487,67500,65001,70001,67501,4914,4703,NA,NA,NA,NA,NA,NA
HE669487,72500,70001,75001,72501,4940,4712,NA,NA,NA,NA,NA,NA
HE669487,77500,75001,80001,77501,4967,4632,NA,NA,NA,NA,NA,NA
HE669487,82500,80001,85001,82501,4967,4884,NA,NA,NA,NA,NA,NA
HE669487,87500,85001,90001,86523,2936,2842,NA,NA,NA,NA,NA,NA
HE669487,92500,90001,95001,NA,0,NA,NA,NA,NA,NA,NA,NA
HE669485,2500,1,5001,2642,4182,4011,NA,NA,NA,NA,NA,NA
HE669485,7500,5001,10001,7501,4368,4166,NA,NA,NA,NA,NA,NA
HE669485,12500,10001,15001,12501,4568,4386,NA,NA,NA,NA,NA,NA
HE669485,17500,15001,20001,17499,4921,4664,NA,NA,NA,NA,NA,NA
HE669485,22500,20001,25001,22501,4894,4466,NA,NA,NA,NA,NA,NA
HE669485,27500,25001,30001,27501,4808,4397,NA,NA,NA,NA,NA,NA
HE669485,32500,30001,35001,32501,4894,4567,NA,NA,NA,NA,NA,NA
HE669485,37500,35001,40001,36152,2240,1997,NA,NA,NA,NA,NA,NA
HE669485,42500,40001,45001,NA,0,NA,NA,NA,NA,NA,NA,NA
HE669483,2500,1,5001,2616,3976,2964,NA,NA,NA,NA,NA,NA
HE669483,7500,5001,10001,6851,2983,1573,NA,NA,NA,NA,NA,NA
HE669483,12500,10001,15001,NA,0,NA,NA,NA,NA,NA,NA,NA
HE669481,2500,1,5001,964,1616,896,NA,NA,NA,NA,NA,NA
