#chrom	coord	total	dtotal	T12	T34	T1234	DFO_left	DFO_right	DFO_total	DFO_stat	DFO_chisq	DFO_Pvalue	DIL_left	DIL_right	DIL_total	DIL_stat	DIL_chisq	DIL_Pvalue	DFI_left	DFI_right	DFI_total	DFI_stat	DFI_chisq	DFI_Pvalue	DOL_left	DOL_right	DOL_total	DOL_stat	DOL_chisq	DOL_Pvalue	introgression	introgna	intrognone	introg13	introg14	introg23	introg24	introg31	introg41	introg32	introg42	introg123	introg124
X	500007	491061	18.0	8.14562752896e-06	8.14562752896e-06	8.14562752896e-06	5.0	3.0	8.0	0.25	0	1.0	5.0	3.0	8.0	0.25	0	1.0	5.0	5.0	10.0	0.0	0	1	5.0	5.0	10.0	0.0	0	1	na	1	0	0	0	0	0	0	0	0	0	0	0
X	1000102	489434	17.0	5.10794100941e-06	1.12374702207e-05	1.02158820188e-05	9.0	2.0	11.0	0.636363636364	4.45454545455	0.0348084788119	9.0	2.0	11.0	0.636363636364	4.45454545455	0.0348084788119	1.0	5.0	6.0	-0.666666666667	0	1.0	1.0	5.0	6.0	-0.666666666667	0	1.0	na	1	0	0	0	0	0	0	0	0	0	0	0
X	1500061	489296	17.0	3.06562898532e-06	1.22625159413e-05	8.68594879173e-06	10.0	4.0	14.0	0.428571428571	2.57142857143	0.108809430041	11.0	3.0	14.0	0.571428571429	4.57142857143	0.0325094446457	3.0	1.0	4.0	0.5	0	1.0	4.0	0.0	4.0	1.0	0	1.0	na	1	0	0	0	0	0	0	0	0	0	0	0
X	2000026	489976	37.0	1.12250395938e-05	1.93887047529e-05	1.63273303182e-05	13.0	11.0	24.0	0.0833333333333	0.166666666667	0.68309139831	12.0	12.0	24.0	0.0	0	1	6.0	8.0	14.0	-0.142857142857	0.285714285714	0.592980098017	5.0	9.0	14.0	-0.285714285714	1.14285714286	0.285049407403	na	1	0	0	0	0	0	0	0	0	0	0	0
X	2500007	490069	54.0	2.24458188541e-05	2.85674058143e-05	2.65268768275e-05	28.0	4.0	32.0	0.75	18.0	2.20904969986e-05	25.0	7.0	32.0	0.5625	10.125	0.00146271658668	17.0	8.0	25.0	0.36	3.24	0.0718606382259	14.0	11.0	25.0	0.12	0.36	0.5485062355	123	0	0	0	0	0	0	0	0	0	0	1	0
X	3000012	490313	39.0	1.22370812114e-05	2.34544056552e-05	1.78457434333e-05	13.0	11.0	24.0	0.0833333333333	0.166666666667	0.68309139831	12.0	12.0	24.0	0.0	0	1	9.0	7.0	16.0	0.125	0.25	0.617075077452	8.0	8.0	16.0	0.0	0	1	na	1	0	0	0	0	0	0	0	0	0	0	0
X	3500008	491116	6.0	1.01808941268e-06	4.07235765074e-06	2.54522353171e-06	2.0	3.0	5.0	-0.2	0	1.0	2.0	3.0	5.0	-0.2	0	1.0	0.0	1.0	1.0	-1.0	0	1.0	0.0	1.0	1.0	-1.0	0	1.0	na	1	0	0	0	0	0	0	0	0	0	0	0
X	4000169	491144	38.0	6.10818822993e-06	2.6468815663e-05	1.62885019465e-05	24.0	5.0	29.0	0.655172413793	12.4482758621	0.000418377845865	22.0	7.0	29.0	0.51724137931	7.75862068966	0.00534567687265	5.0	6.0	11.0	-0.0909090909091	0.0909090909091	0.763024600553	3.0	8.0	11.0	-0.454545454545	2.27272727273	0.131668016023	123	0	0	0	0	0	0	0	0	0	0	1	0
X	4500000	490124	6.0	3.06045000857e-06	3.06045000857e-06	3.06045000857e-06	3.0	0.0	3.0	1.0	0	1.0	3.0	0.0	3.0	1.0	0	1.0	2.0	1.0	3.0	0.333333333333	0	1.0	2.0	1.0	3.0	0.333333333333	0	1.0	na	1	0	0	0	0	0	0	0	0	0	0	0
X	5000005	491634	31.0	5.08508361912e-06	2.23743679241e-05	1.47467424954e-05	18.0	4.0	22.0	0.636363636364	8.90909090909	0.00283754488879	18.0	4.0	22.0	0.636363636364	8.90909090909	0.00283754488879	5.0	4.0	9.0	0.111111111111	0	1.0	5.0	4.0	9.0	0.111111111111	0	1.0	na	1	0	0	0	0	0	0	0	0	0	0	0
X	5500000	492182	24.0	5.07942183989e-06	1.93018029916e-05	1.32064967837e-05	17.0	2.0	19.0	0.789473684211	11.8421052632	0.000579063217219	17.0	2.0	19.0	0.789473684211	11.8421052632	0.000579063217219	5.0	0.0	5.0	1.0	0	1.0	5.0	0.0	5.0	1.0	0	1.0	na	1	0	0	0	0	0	0	0	0	0	0	0
X	6000014	493951	31.0	4.04898461588e-06	2.12571692334e-05	1.26530769246e-05	23.0	3.0	26.0	0.769230769231	15.3846153846	8.76994237559e-05	22.0	4.0	26.0	0.692307692308	12.4615384615	0.000415417648382	6.0	2.0	8.0	0.5	0	1.0	5.0	3.0	8.0	0.25	0	1.0	na	1	0	0	0	0	0	0	0	0	0	0	0
X	6500143	492588	27.0	4.06018823033e-06	2.33460823244e-05	1.37031352774e-05	21.0	2.0	23.0	0.826086956522	15.6956521739	7.43949840484e-05	21.0	2.0	23.0	0.826086956522	15.6956521739	7.43949840484e-05	4.0	0.0	4.0	1.0	0	1.0	4.0	0.0	4.0	1.0	0	1.0	na	1	0	0	0	0	0	0	0	0	0	0	0
X	7000014	493471	21.0	8.10584613888e-06	1.21587692083e-05	1.01323076736e-05	7.0	6.0	13.0	0.0769230769231	0.0769230769231	0.781511294999	6.0	7.0	13.0	-0.0769230769231	0.0769230769231	0.781511294999	7.0	2.0	9.0	0.555555555556	0	1.0	6.0	3.0	9.0	0.333333333333	0	1.0	na	1	0	0	0	0	0	0	0	0	0	0	0
X	7500092	494472	19.0	4.0447184067e-06	1.31453348218e-05	8.59502661425e-06	13.0	2.0	15.0	0.733333333333	8.06666666667	0.0045086983649	12.0	3.0	15.0	0.6	5.4	0.0201367515503	2.0	3.0	5.0	-0.2	0	1.0	1.0	4.0	5.0	-0.6	0	1.0	na	1	0	0	0	0	0	0	0	0	0	0	0
X	8000009	494497	66.0	2.93227259215e-05	3.43783683217e-05	3.18505471216e-05	26.0	11.0	37.0	0.405405405405	6.08108108108	0.0136637128682	25.0	12.0	37.0	0.351351351351	4.56756756757	0.0325827983856	21.0	9.0	30.0	0.4	4.8	0.0284597369163	20.0	10.0	30.0	0.333333333333	3.33333333333	0.0678891548618	none	0	1	0	0	0	0	0	0	0	0	0	0
X	8500220	495163	21.0	1.00976850047e-06	2.01953700095e-05	1.0602569255e-05	19.0	1.0	20.0	0.9	16.2	5.69941162333e-05	19.0	1.0	20.0	0.9	16.2	5.69941162333e-05	1.0	0.0	1.0	1.0	0	1.0	1.0	0.0	1.0	1.0	0	1.0	na	1	0	0	0	0	0	0	0	0	0	0	0
X	9000007	494469	21.0	7.07830015633e-06	1.3145414576e-05	1.01118573662e-05	7.0	6.0	13.0	0.0769230769231	0.0769230769231	0.781511294999	7.0	6.0	13.0	0.0769230769231	0.0769230769231	0.781511294999	3.0	5.0	8.0	-0.25	0	1.0	3.0	5.0	8.0	-0.25	0	1.0	na	1	0	0	0	0	0	0	0	0	0	0	0
X	9500267	493879	60.0	2.12602682033e-05	3.44213866149e-05	3.1890402305e-05	26.0	11.0	37.0	0.405405405405	6.08108108108	0.0136637128682	25.0	12.0	37.0	0.351351351351	4.56756756757	0.0325827983856	7.0	19.0	26.0	-0.461538461538	5.53846153846	0.0186029299011	6.0	20.0	26.0	-0.538461538462	7.53846153846	0.00603955904866	none	0	1	0	0	0	0	0	0	0	0	0	0
X	10000011	493668	25.0	4.05130573584e-06	1.62052229434e-05	1.21539172075e-05	15.0	5.0	20.0	0.5	5.0	0.0253473186775	12.0	8.0	20.0	0.2	0.8	0.371093369523	7.0	1.0	8.0	0.75	0	1.0	4.0	4.0	8.0	0.0	0	1.0	na	1	0	0	0	0	0	0	0	0	0	0	0
X	10500176	494282	6.0	1.01156829502e-06	5.05784147511e-06	3.03470488507e-06	5.0	0.0	5.0	1.0	0	1.0	5.0	0.0	5.0	1.0	0	1.0	1.0	0.0	1.0	1.0	0	1.0	1.0	0.0	1.0	1.0	0	1.0	na	1	0	0	0	0	0	0	0	0	0	0	0
X	11000215	495079	43.0	1.91888567279e-05	1.81789169001e-05	1.96938266418e-05	10.0	13.0	23.0	-0.130434782609	0.391304347826	0.531614576882	13.0	10.0	23.0	0.130434782609	0.391304347826	0.531614576882	10.0	13.0	23.0	-0.130434782609	0.391304347826	0.531614576882	13.0	10.0	23.0	0.130434782609	0.391304347826	0.531614576882	none	0	1	0	0	0	0	0	0	0	0	0	0
X	11500054	494649	30.0	1.01081777179e-05	1.92055376641e-05	1.56676754628e-05	11.0	8.0	19.0	0.157894736842	0.473684210526	0.491297124216	11.0	8.0	19.0	0.157894736842	0.473684210526	0.491297124216	5.0	6.0	11.0	-0.0909090909091	0.0909090909091	0.763024600553	5.0	6.0	11.0	-0.0909090909091	0.0909090909091	0.763024600553	none	0	1	0	0	0	0	0	0	0	0	0	0
X	12000018	494068	22.0	0.0	2.12521353336e-05	1.06260676668e-05	22.0	0.0	22.0	1.0	22.0	2.72650465616e-06	22.0	0.0	22.0	1.0	22.0	2.72650465616e-06	0.0	0.0	0.0	0	0	1.0	0.0	0.0	0.0	0	0	1.0	na	1	0	0	0	0	0	0	0	0	0	0	0
X	12500038	494537	15.0	3.03314008861e-06	1.11215136582e-05	7.07732687342e-06	9.0	3.0	12.0	0.5	3.0	0.0832645166636	8.0	4.0	12.0	0.333333333333	1.33333333333	0.24821307899	2.0	2.0	4.0	0.0	0	1.0	1.0	3.0	4.0	-0.5	0	1.0	na	1	0	0	0	0	0	0	0	0	0	0	0
X	13000003	494299	26.0	8.09226804019e-06	1.71960695854e-05	1.26441688128e-05	9.0	8.0	17.0	0.0588235294118	0.0588235294118	0.808365155915	9.0	8.0	17.0	0.0588235294118	0.0588235294118	0.808365155915	5.0	4.0	9.0	0.111111111111	0	1.0	5.0	4.0	9.0	0.111111111111	0	1.0	na	1	0	0	0	0	0	0	0	0	0	0	0
X	13500173	494779	25.0	7.07386530148e-06	1.81899393467e-05	1.26319023241e-05	12.0	6.0	18.0	0.333333333333	2.0	0.15729920705	12.0	6.0	18.0	0.333333333333	2.0	0.15729920705	5.0	2.0	7.0	0.428571428571	0	1.0	5.0	2.0	7.0	0.428571428571	0	1.0	na	1	0	0	0	0	0	0	0	0	0	0	0
