#chrom	blockRange	AAAA	AABA	ABAA	ABBA	BAAA	BABA	BBAA	BBBA
1	1	379	378	379	378	379	378	379	378
1	2	64	85	64	85	64	85	64	85
1	3	52	147	52	147	52	147	52	147
1	4	162	130	162	130	162	130	162	130
1	5	87	209	87	209	87	209	87	209
1	6	74	159	74	159	74	159	74	159
1	7	55	137	55	137	55	137	55	137
1	8	87	103	87	103	87	103	87	103
1	9	54	151	54	151	54	151	54	151
1	10	87	70	87	70	87	70	87	70
1	11	93	141	93	141	93	141	93	141
1	12	119	129	119	129	119	129	119	129
1	13	137	144	137	144	137	144	137	144
1	14	101	116	101	116	101	116	101	116
1	15	152	177	152	177	152	177	152	177
1	16	138	197	138	197	138	197	138	197
1	17	111	96	111	96	111	96	111	96
1	18	162	181	162	181	162	181	162	181
1	19	154	142	154	142	154	142	154	142
1	20	234	120	234	120	234	120	234	120
1	21	194	178	194	178	194	178	194	178
1	22	184	158	184	158	184	158	184	158
1	23	154	221	154	221	154	221	154	221
1	24	159	217	159	217	159	217	159	217
1	25	210	223	210	223	210	223	210	223
1	26	145	195	145	195	145	195	145	195
1	27	189	170	189	170	189	170	189	170
1	28	81	209	81	209	81	209	81	209
1	29	95	127	95	127	95	127	95	127
1	30	198	110	198	110	198	110	198	110
1	31	157	189	157	189	157	189	157	189
1	32	178	141	178	141	178	141	178	141
1	33	167	215	167	215	167	215	167	215
1	34	162	253	162	253	162	253	162	253
1	35	155	206	155	206	155	206	155	206
1	36	123	217	123	217	123	217	123	217
1	37	197	158	197	158	197	158	197	158
1	38	126	122	126	122	126	122	126	122
1	39	84	122	84	122	84	122	84	122
1	40	143	185	143	185	143	185	143	185
1	41	115	196	115	196	115	196	115	196
1	42	150	213	150	213	150	213	150	213
1	43	134	240	134	240	134	240	134	240
1	44	130	235	130	235	130	235	130	235
1	45	174	167	174	167	174	167	174	167
1	46	181	152	181	152	181	152	181	152
1	47	214	225	214	225	214	225	214	225
1	48	129	188	129	188	129	188	129	188
1	49	145	238	145	238	145	238	145	238
1	50	199	367	199	367	199	367	199	367
1	51	133	264	133	264	133	264	133	264
1	52	152	226	152	226	152	226	152	226
1	53	128	188	128	188	128	188	128	188
1	54	151	166	151	166	151	166	151	166
1	55	143	168	143	168	143	168	143	168
1	56	153	161	153	161	153	161	153	161
1	57	94	136	94	136	94	136	94	136
1	58	80	138	80	138	80	138	80	138
1	59	189	137	189	137	189	137	189	137
1	60	186	189	186	189	186	189	186	189
1	61	163	147	163	147	163	147	163	147
1	62	133	193	133	193	133	193	133	193
1	63	125	150	125	150	125	150	125	150
1	64	130	101	130	101	130	101	130	101
1	65	136	155	136	155	136	155	136	155
1	66	151	171	151	171	151	171	151	171
1	67	123	196	123	196	123	196	123	196
1	68	142	155	142	155	142	155	142	155
1	69	89	142	89	142	89	142	89	142
1	70	97	103	97	103	97	103	97	103
1	71	80	87	80	87	80	87	80	87
1	72	158	172	158	172	158	172	158	172
1	73	119	127	119	127	119	127	119	127
1	74	151	164	151	164	151	164	151	164
1	75	91	106	91	106	91	106	91	106
1	76	144	125	144	125	144	125	144	125
1	77	81	94	81	94	81	94	81	94
1	78	155	197	155	197	155	197	155	197
1	79	113	154	113	154	113	154	113	154
1	80	141	106	141	106	141	106	141	106
1	81	77	110	77	110	77	110	77	110
1	82	97	147	97	147	97	147	97	147
1	83	110	104	110	104	110	104	110	104
1	84	126	186	126	186	126	186	126	186
1	85	149	120	149	120	149	120	149	120
1	86	123	130	123	130	123	130	123	130
1	87	100	117	100	117	100	117	100	117
1	88	128	211	128	211	128	211	128	211
1	89	146	155	146	155	146	155	146	155
1	90	177	183	177	183	177	183	177	183
1	91	117	164	117	164	117	164	117	164
1	92	100	158	100	158	100	158	100	158
1	93	52	88	52	88	52	88	52	88
1	94	50	109	50	109	50	109	50	109
1	95	92	340	92	340	92	340	92	340
1	96	377	112	377	112	377	112	377	112
1	97	131	168	131	168	131	168	131	168
1	98	90	113	90	113	90	113	90	113
1	99	196	140	196	140	196	140	196	140
1	100	200	142	200	142	200	142	200	142
1	101	237	159	237	159	237	159	237	159
1	102	157	98	157	98	157	98	157	98
1	103	208	76	208	76	208	76	208	76
1	104	97	99	97	99	97	99	97	99
1	105	149	147	149	147	149	147	149	147
1	106	163	189	163	189	163	189	163	189
1	107	139	140	139	140	139	140	139	140
1	108	133	183	133	183	133	183	133	183
1	109	188	190	188	190	188	190	188	190
1	110	225	196	225	196	225	196	225	196
1	111	207	219	207	219	207	219	207	219
1	112	223	192	223	192	223	192	223	192
1	113	198	276	198	276	198	276	198	276
1	114	140	158	140	158	140	158	140	158
1	115	134	132	134	132	134	132	134	132
1	116	118	96	118	96	118	96	118	96
1	117	155	120	155	120	155	120	155	120
1	118	121	76	121	76	121	76	121	76
1	119	132	151	132	151	132	151	132	151
1	120	175	133	175	133	175	133	175	133
1	121	145	156	145	156	145	156	145	156
1	122	149	164	149	164	149	164	149	164
1	123	141	90	141	90	141	90	141	90
1	124	138	104	138	104	138	104	138	104
1	125	89	123	89	123	89	123	89	123
1	126	139	133	139	133	139	133	139	133
1	127	90	151	90	151	90	151	90	151
1	128	129	103	129	103	129	103	129	103
1	129	171	170	171	170	171	170	171	170
1	130	150	148	150	148	150	148	150	148
1	131	121	129	121	129	121	129	121	129
1	132	112	122	112	122	112	122	112	122
1	133	191	229	191	229	191	229	191	229
1	134	109	128	109	128	109	128	109	128
1	135	161	147	161	147	161	147	161	147
1	136	133	123	133	123	133	123	133	123
1	137	125	139	125	139	125	139	125	139
1	138	130	226	130	226	130	226	130	226
1	139	101	88	101	88	101	88	101	88
1	140	220	204	220	204	220	204	220	204
1	141	114	104	114	104	114	104	114	104
1	142	122	111	122	111	122	111	122	111
1	143	97	122	97	122	97	122	97	122
1	144	69	45	69	45	69	45	69	45
1	145	169	176	169	176	169	176	169	176
1	146	143	144	143	144	143	144	143	144
1	147	149	138	149	138	149	138	149	138
1	148	116	78	116	78	116	78	116	78
1	149	77	147	77	147	77	147	77	147
1	150	145	129	145	129	145	129	145	129
1	151	166	168	166	168	166	168	166	168
1	152	136	105	136	105	136	105	136	105
1	153	146	133	146	133	146	133	146	133
1	154	109	103	109	103	109	103	109	103
1	155	146	207	146	207	146	207	146	207
1	156	122	125	122	125	122	125	122	125
1	157	214	154	214	154	214	154	214	154
1	158	194	144	194	144	194	144	194	144
1	159	118	144	118	144	118	144	118	144
1	160	106	153	106	153	106	153	106	153
1	161	155	162	155	162	155	162	155	162
1	162	74	119	74	119	74	119	74	119
1	163	116	143	116	143	116	143	116	143
1	164	174	172	174	172	174	172	174	172
1	165	145	159	145	159	145	159	145	159
1	166	115	136	115	136	115	136	115	136
1	167	164	172	164	172	164	172	164	172
1	168	127	148	127	148	127	148	127	148
1	169	166	149	166	149	166	149	166	149
1	170	137	115	137	115	137	115	137	115
1	171	126	129	126	129	126	129	126	129
1	172	140	189	140	189	140	189	140	189
1	173	218	188	218	188	218	188	218	188
1	174	160	177	160	177	160	177	160	177
1	175	136	194	136	194	136	194	136	194
1	176	104	115	104	115	104	115	104	115
1	177	201	175	201	175	201	175	201	175
1	178	150	138	150	138	150	138	150	138
1	179	141	190	141	190	141	190	141	190
1	180	165	189	165	189	165	189	165	189
1	181	122	142	122	142	122	142	122	142
1	182	144	156	144	156	144	156	144	156
1	183	135	134	135	134	135	134	135	134
1	184	97	108	97	108	97	108	97	108
1	185	90	115	90	115	90	115	90	115
1	186	100	100	100	100	100	100	100	100
1	187	67	139	67	139	67	139	67	139
1	188	147	119	147	119	147	119	147	119
1	189	177	174	177	174	177	174	177	174
1	190	199	186	199	186	199	186	199	186
1	191	166	212	166	212	166	212	166	212
1	192	235	106	235	106	235	106	235	106
1	193	208	285	208	285	208	285	208	285
