#chrom	coord	total	dtotal	T12	T123	D_left	D_right	D_total	D_stat	D_chisq	D_Pvalue	introgression	introgna	intrognone	introg23	introg13
1	1	503183	198.0	0.000821768620959	0.00214087121385	102.0	96.0	198.0	0.030303030303	0.181818181818	0.669815357599	none	0	1	0	0
1	500000	502302	70.0	0.00137666184885	0.00120594781625	41.0	29.0	70.0	0.171428571429	2.05714285714	0.151493992404	none	0	1	0	0
1	999999	501077	129.0	0.00126926600103	0.00103077970053	117.0	12.0	129.0	0.813953488372	85.4651162791	0.0	23	0	0	1	0
1	1499998	502772	254.0	0.00148576293031	0.00114564852458	123.0	131.0	254.0	-0.0314960629921	0.251968503937	0.615692391433	none	0	1	0	0
1	1999997	501465	226.0	0.00139989829799	0.00115262281515	176.0	50.0	226.0	0.557522123894	70.2477876106	0.0	23	0	0	1	0
1	2499996	502495	164.0	0.00143683021722	0.00145673091275	119.0	45.0	164.0	0.451219512195	33.3902439024	7.54012652315e-09	23	0	0	1	0
1	2999995	502091	147.0	0.00129060269951	0.00124977344744	102.0	45.0	147.0	0.387755102041	22.1020408163	2.58534744524e-06	23	0	0	1	0
1	3499994	501606	150.0	0.00114532122821	0.00104514300068	92.0	58.0	150.0	0.226666666667	7.70666666667	0.00550172515432	23	0	0	1	0
1	3999993	502042	149.0	0.00132658223814	0.00125387915752	129.0	20.0	149.0	0.731543624161	79.7382550336	0.0	23	0	0	1	0
1	4499992	501856	99.0	0.0012354141427	0.00108696518523	31.0	68.0	99.0	-0.373737373737	13.8282828283	0.000200298336993	13	0	0	0	1
1	4999991	502454	160.0	0.0014080890987	0.00156681009605	111.0	49.0	160.0	0.3875	24.025	9.50929435195e-07	23	0	0	1	0
1	5499990	502538	203.0	0.00150933859728	0.00157450779842	104.0	99.0	203.0	0.0246305418719	0.12315270936	0.72563996162	none	0	1	0	0
1	5999989	502519	215.0	0.00154820016756	0.00141885182451	115.0	100.0	215.0	0.0697674418605	1.04651162791	0.306311860388	none	0	1	0	0
1	6499988	502842	137.0	0.00154820003102	0.00170878725325	68.0	69.0	137.0	-0.00729927007299	0.00729927007299	0.931914960123	none	0	1	0	0
1	6999987	502176	247.0	0.00148354361817	0.00154328362964	129.0	118.0	247.0	0.0445344129555	0.48987854251	0.483981488848	none	0	1	0	0
1	7499986	502828	272.0	0.00156614190141	0.00159249286038	161.0	111.0	272.0	0.183823529412	9.19117647059	0.00243184536274	23	0	0	1	0
1	7999985	502107	131.0	0.00140109578237	0.00144043002786	54.0	77.0	131.0	-0.175572519084	4.03816793893	0.0444820867768	none	0	1	0	0
1	8499984	502964	289.0	0.00164027644126	0.00154484217558	149.0	140.0	289.0	0.0311418685121	0.280276816609	0.596519838727	none	0	1	0	0
1	8999983	502264	223.0	0.00152808084991	0.00149970931622	105.0	118.0	223.0	-0.0582959641256	0.757847533632	0.384002972008	none	0	1	0	0
1	9499982	502661	266.0	0.00162336047555	0.00154079986313	82.0	184.0	266.0	-0.383458646617	39.1127819549	4.00016464397e-10	13	0	0	0	1
1	9999981	502807	265.0	0.00156521289481	0.00167459880232	128.0	137.0	265.0	-0.0339622641509	0.305660377358	0.580355440978	none	0	1	0	0
1	10499980	502641	266.0	0.00173981032188	0.00164978583124	131.0	135.0	266.0	-0.015037593985	0.0601503759398	0.806258422917	none	0	1	0	0
