chrom	coord	total	dtotal	T12	T123	D_left	D_right	D_total	D_stat	D_chisq	D_Pvalue	introgression	introgna	intrognone	introg23	introg13
1	500101	505064	719	0.005430995	0.004667725	359	360	719	-0.001390821	0.001390821	0.970250823	none	0	1	0	0
1	1000300	501390	97	0.003094398	0.002233291	35	62	97	-0.278350515	7.515463918	0.006117153	13	0	0	0	1
1	1500026	501027	153	0.002879086	0.001992408	27	126	153	-0.647058824	64.05882353	1.22E-15	13	0	0	0	1
1	2000559	502887	262	0.003371533	0.002293259	144	118	262	0.099236641	2.580152672	0.108211225	none	0	1	0	0
1	2500024	501789	262	0.003156705	0.002178206	74	188	262	-0.435114504	49.60305344	1.88E-12	13	0	0	0	1
1	3000178	502717	186	0.003377646	0.002564067	56	130	186	-0.397849462	29.44086022	5.76E-08	13	0	0	0	1
1	3500029	501847	164	0.003027815	0.002285059	46	118	164	-0.43902439	31.6097561	1.88E-08	13	0	0	0	1
1	4000095	502244	164	0.002893016	0.002121479	71	93	164	-0.134146341	2.951219512	0.085812781	none	0	1	0	0
1	4500004	502033	184	0.003092426	0.002294172	41	143	184	-0.554347826	56.54347826	5.50E-14	13	0	0	0	1
1	5000024	502016	124	0.002941141	0.002128916	75	49	124	0.209677419	5.451612903	0.019550269	none	0	1	0	0
1	5500071	502555	181	0.003220543	0.002643989	59	122	181	-0.348066298	21.9281768	2.83E-06	13	0	0	0	1
1	6000065	502381	212	0.003041516	0.00252	100	112	212	-0.056603774	0.679245283	0.409846729	none	0	1	0	0
1	6500049	502150	243	0.003089714	0.002399184	112	131	243	-0.0781893	1.485596708	0.222900914	none	0	1	0	0
1	7000123	502089	163	0.003118969	0.00268777	75	88	163	-0.079754601	1.036809816	0.308564587	none	0	1	0	0
1	7500007	501715	294	0.002821323	0.002375353	138	156	294	-0.06122449	1.102040816	0.293818666	none	0	1	0	0
1	8000077	502615	297	0.003274872	0.002657103	118	179	297	-0.205387205	12.52861953	0.000400766	13	0	0	0	1
1	8500000	501827	159	0.002952213	0.002410691	87	72	159	0.094339623	1.41509434	0.234212541	none	0	1	0	0
1	9000183	502570	295	0.0031518	0.002471298	146	149	295	-0.010169492	0.030508475	0.861341493	none	0	1	0	0
1	9500063	501660	260	0.002976119	0.002384085	134	126	260	0.030769231	0.246153846	0.619796388	none	0	1	0	0
1	10000093	502037	289	0.003028661	0.002458484	203	86	289	0.404844291	47.36678201	5.89E-12	23	0	0	1	0
1	10500164	502144	306	0.003085768	0.002624247	160	146	306	0.045751634	0.640522876	0.42352152	none	0	1	0	0
1	11000006	501586	292	0.003114122	0.002524991	155	137	292	0.061643836	1.109589041	0.292171299	none	0	1	0	0
1	11500013	502143	323	0.003073826	0.002601351	126	197	323	-0.219814241	15.60681115	7.80E-05	13	0	0	0	1
1	12000027	502127	335	0.003017165	0.002367927	140	195	335	-0.164179104	9.029850746	0.002656062	13	0	0	0	1
1	12500062	502313	375	0.00317332	0.002618885	182	193	375	-0.029333333	0.322666667	0.570009466	none	0	1	0	0
1	13000143	502356	280	0.003216842	0.002600745	115	165	280	-0.178571429	8.928571429	0.002807438	13	0	0	0	1
1	13500014	502617	324	0.003430047	0.002672015	173	151	324	0.067901235	1.49382716	0.221623602	none	0	1	0	0
1	14000035	502681	240	0.003460445	0.002572705	65	175	240	-0.458333333	50.41666667	1.24E-12	13	0	0	0	1
1	14500089	502360	195	0.003141174	0.002423561	78	117	195	-0.2	7.8	0.005224623	13	0	0	0	1
1	15000027	502088	250	0.002993499	0.002334252	165	85	250	0.32	25.6	4.20E-07	23	0	0	1	0
1	15500000	502951	311	0.003546071	0.002735356	137	174	311	-0.118971061	4.40192926	0.035898298	none	0	1	0	0
1	16000206	502890	291	0.003294955	0.002530374	158	133	291	0.085910653	2.147766323	0.142777477	none	0	1	0	0
1	16500021	502015	337	0.003247911	0.002681693	146	191	337	-0.133531157	6.008902077	0.014233881	none	0	1	0	0
1	17000012	502770	378	0.003478728	0.00267518	142	236	378	-0.248677249	23.37566138	1.33E-06	13	0	0	0	1
1	17500014	502080	293	0.00347355	0.002762508	116	177	293	-0.208191126	12.6996587	0.000365722	13	0	0	0	1
1	18000011	502687	290	0.003571805	0.002806418	101	189	290	-0.303448276	26.70344828	2.37E-07	13	0	0	0	1
1	18500058	502344	295	0.00335328	0.002742642	167	128	295	0.13220339	5.155932203	0.023167096	none	0	1	0	0
1	19000031	502339	222	0.003258756	0.002414704	114	108	222	0.027027027	0.162162162	0.687173618	none	0	1	0	0
1	19500074	502083	183	0.003008467	0.002275022	72	111	183	-0.213114754	8.31147541	0.003939538	13	0	0	0	1
1	20000175	502926	301	0.003112784	0.002474022	133	168	301	-0.11627907	4.069767442	0.043657285	none	0	1	0	0
1	20500072	502382	273	0.003095254	0.002376678	96	177	273	-0.296703297	24.03296703	9.47E-07	13	0	0	0	1
1	21000001	502594	333	0.003276004	0.002602001	130	203	333	-0.219219219	16.003003	6.32E-05	13	0	0	0	1
1	21500046	502409	314	0.003259297	0.002564146	102	212	314	-0.350318471	38.53503185	5.38E-10	13	0	0	0	1
1	22000138	502514	331	0.003151156	0.002488985	119	212	331	-0.280966767	26.12990937	3.19E-07	13	0	0	0	1
1	22500168	502118	268	0.003046097	0.002453109	125	143	268	-0.067164179	1.208955224	0.271539136	none	0	1	0	0
1	23000143	502661	301	0.003271589	0.002634479	158	143	301	0.049833887	0.747508306	0.387266264	none	0	1	0	0
1	23500018	502692	396	0.003457385	0.002740247	195	201	396	-0.015151515	0.090909091	0.763024601	none	0	1	0	0
1	24000106	501764	256	0.003137929	0.002404019	101	155	256	-0.2109375	11.390625	0.000738157	13	0	0	0	1
1	24500170	502130	333	0.003167506	0.002487902	115	218	333	-0.309309309	31.85885886	1.66E-08	13	0	0	0	1
1	25000238	501106	467	0.00332265	0.002687056	148	319	467	-0.366167024	62.61456103	2.55E-15	13	0	0	0	1
1	25500037	502166	351	0.003347499	0.002612682	110	241	351	-0.373219373	48.89173789	2.70E-12	13	0	0	0	1
1	26000061	502610	336	0.003446012	0.002653151	133	203	336	-0.208333333	14.58333333	0.000134095	13	0	0	0	1
1	26500034	502349	270	0.003278597	0.002589833	102	168	270	-0.244444444	16.13333333	5.90E-05	13	0	0	0	1
1	27000035	502350	257	0.003289539	0.002507714	129	128	257	0.003891051	0.003891051	0.950261586	none	0	1	0	0
1	27500010	502619	258	0.003417101	0.002691402	106	152	258	-0.178294574	8.201550388	0.004185461	13	0	0	0	1
1	28000055	502217	260	0.003149037	0.00249444	127	133	260	-0.023076923	0.138461538	0.709815267	none	0	1	0	0
1	28500003	501578	176	0.002974612	0.002179123	70	106	176	-0.204545455	7.363636364	0.006655605	13	0	0	0	1
1	29000012	502058	173	0.003004633	0.002277127	65	108	173	-0.248554913	10.68786127	0.001078408	13	0	0	0	1
1	29500099	502201	266	0.002969926	0.002305352	159	107	266	0.195488722	10.16541353	0.001430998	23	0	0	1	0
