#chrom	coord	total	dtotal	T12	T123	D_left	D_right	D_total	D_stat	D_chisq	D_Pvalue	introgression	introgna	intrognone	introg23	introg13
1	1	498471	297	0.000921819	0.001069771	153	144	297	0.03030303	0.272727273	0.601508134	none	0	1	0	0
1	500418	497237	108	0.000981423	0.001332363	65	43	108	0.203703704	4.481481481	0.034264008	none	0	1	0	0
1	1000835	496796	126	0.000953108	0.001250513	103	23	126	0.634920635	50.79365079	1.03E-12	23	0	0	1	0
1	1501252	498569	120	0.001022928	0.001625653	88	32	120	0.466666667	26.13333333	3.19E-07	23	0	0	1	0
1	2001669	497355	212	0.001044526	0.001382815	185	27	212	0.745283019	117.754717	0	23	0	0	1	0
1	2502086	497690	165	0.001096064	0.0014934	51	114	165	-0.381818182	24.05454545	9.36E-07	13	0	0	0	1
1	3002503	497712	138	0.00095939	0.001324561	64	74	138	-0.072463768	0.724637681	0.394626866	none	0	1	0	0
1	3502920	497820	129	0.000876823	0.001171608	74	55	129	0.147286822	2.798449612	0.094355505	none	0	1	0	0
1	4003337	497909	191	0.001196002	0.001422449	54	137	191	-0.434554974	36.06806283	1.91E-09	13	0	0	0	1
1	4503754	497725	104	0.00092521	0.001155759	74	30	104	0.423076923	18.61538462	1.60E-05	23	0	0	1	0
1	5004171	497695	207	0.001246748	0.001456213	112	95	207	0.082125604	1.396135266	0.237371726	none	0	1	0	0
1	5504588	497974	185	0.001053268	0.001577894	101	84	185	0.091891892	1.562162162	0.211348919	none	0	1	0	0
1	6005005	497693	212	0.001190493	0.001648104	109	103	212	0.028301887	0.169811321	0.680279547	none	0	1	0	0
1	6505422	497597	238	0.001234935	0.00154593	110	128	238	-0.075630252	1.361344538	0.243304597	none	0	1	0	0
1	7005839	497032	233	0.001210184	0.001655326	123	110	233	0.055793991	0.725321888	0.394403762	none	0	1	0	0
1	7506256	497594	288	0.001230923	0.001688626	135	153	288	-0.0625	1.125	0.288844366	none	0	1	0	0
1	8006673	497405	167	0.001166052	0.001457565	80	87	167	-0.041916168	0.293413174	0.588041545	none	0	1	0	0
1	8507090	498013	344	0.00137145	0.00175899	179	165	344	0.040697674	0.569767442	0.450351344	none	0	1	0	0
1	9007507	497101	277	0.001344797	0.001749644	94	183	277	-0.321299639	28.59566787	8.92E-08	13	0	0	0	1
1	9507924	497374	284	0.00131189	0.001735615	135	149	284	-0.049295775	0.690140845	0.406116478	none	0	1	0	0
1	10008341	497344	298	0.001365252	0.001751303	139	159	298	-0.067114094	1.342281879	0.246631955	none	0	1	0	0
1	10508758	496927	300	0.001415701	0.001826727	163	137	300	0.086666667	2.253333333	0.133326932	none	0	1	0	0
1	11009175	497227	309	0.001337417	0.001737637	181	128	309	0.171521036	9.090614887	0.002569245	23	0	0	1	0
1	11509592	497535	330	0.001453164	0.001748621	125	205	330	-0.242424242	19.39393939	1.06E-05	13	0	0	0	1
1	12010009	497582	330	0.001267128	0.00191275	138	192	330	-0.163636364	8.836363636	0.002952869	13	0	0	0	1
1	12510426	497404	252	0.00139826	0.001760641	159	93	252	0.261904762	17.28571429	3.22E-05	23	0	0	1	0
1	13010843	497497	237	0.001246239	0.001746744	128	109	237	0.080168776	1.523206751	0.21713486	none	0	1	0	0
1	13511260	497826	249	0.001333799	0.001660219	136	113	249	0.092369478	2.124497992	0.144960269	none	0	1	0	0
1	14011677	497918	163	0.001146775	0.001567527	97	66	163	0.190184049	5.895705521	0.015177848	none	0	1	0	0
1	14512094	497941	140	0.001054342	0.001614649	72	68	140	0.028571429	0.114285714	0.735316691	none	0	1	0	0
1	15012511	498074	176	0.001254834	0.001848119	90	86	176	0.022727273	0.090909091	0.763024601	none	0	1	0	0
1	15512928	497951	201	0.001304345	0.001836024	90	111	201	-0.104477612	2.194029851	0.138546415	none	0	1	0	0
1	16013345	496470	332	0.00146736	0.001901928	163	169	332	-0.018072289	0.108433735	0.741934401	none	0	1	0	0
1	16513762	497875	312	0.001316596	0.001826262	150	162	312	-0.038461538	0.461538462	0.496905848	none	0	1	0	0
1	17014179	496972	248	0.001442737	0.001962887	118	130	248	-0.048387097	0.580645161	0.446059549	none	0	1	0	0
1	17514596	497724	248	0.001459644	0.001842889	114	134	248	-0.080645161	1.612903226	0.204084178	none	0	1	0	0
1	18015013	497247	202	0.001369541	0.001978896	88	114	202	-0.128712871	3.346534653	0.067346651	none	0	1	0	0
1	18515430	497637	148	0.001247898	0.00169903	71	77	148	-0.040540541	0.243243243	0.621873424	none	0	1	0	0
1	19015847	498186	102	0.001039772	0.001570698	39	63	102	-0.235294118	5.647058824	0.017484674	none	0	1	0	0
1	19516264	497735	222	0.001178338	0.001599747	109	113	222	-0.018018018	0.072072072	0.788343396	none	0	1	0	0
1	20016681	498022	161	0.001174647	0.001531057	76	85	161	-0.055900621	0.50310559	0.478138722	none	0	1	0	0
1	20517098	497573	266	0.001415873	0.001766073	135	131	266	0.015037594	0.060150376	0.806258423	none	0	1	0	0
1	21017515	497520	204	0.001253216	0.001837615	119	85	204	0.166666667	5.666666667	0.017290281	none	0	1	0	0
1	21517932	497668	205	0.001160412	0.001860176	90	115	205	-0.12195122	3.048780488	0.080797792	none	0	1	0	0
1	22018349	497701	172	0.00120052	0.001731461	50	122	172	-0.418604651	30.13953488	4.02E-08	13	0	0	0	1
1	22518766	498383	177	0.001132663	0.001798316	86	91	177	-0.028248588	0.141242938	0.707048477	none	0	1	0	0
1	23019183	496398	223	0.001209715	0.001966668	112	111	223	0.004484305	0.004484305	0.946609604	none	0	1	0	0
1	23519600	497098	182	0.001114468	0.001705901	73	109	182	-0.197802198	7.120879121	0.007619134	13	0	0	0	1
1	24020017	497115	243	0.001282399	0.001870292	128	115	243	0.053497942	0.695473251	0.404308941	none	0	1	0	0
1	24520434	496282	212	0.001282537	0.002296577	80	132	212	-0.245283019	12.75471698	0.000355112	13	0	0	0	1
1	25020851	497026	265	0.001414413	0.001870123	110	155	265	-0.169811321	7.641509434	0.005704017	13	0	0	0	1
1	25521268	497565	200	0.001280235	0.001894225	103	97	200	0.03	0.18	0.671373241	none	0	1	0	0
1	26021685	497666	226	0.001192567	0.001766747	96	130	226	-0.150442478	5.115044248	0.023719261	none	0	1	0	0
1	26522102	497599	176	0.001253017	0.001715739	94	82	176	0.068181818	0.818181818	0.365712296	none	0	1	0	0
1	27022519	497541	252	0.001362702	0.00173654	120	132	252	-0.047619048	0.571428571	0.449691798	none	0	1	0	0
1	27522936	497495	299	0.001288455	0.001608056	159	140	299	0.063545151	1.20735786	0.271856023	none	0	1	0	0
1	28023353	497168	81	0.001030839	0.001487928	48	33	81	0.185185185	2.777777778	0.095580705	none	0	1	0	0
1	28523770	497858	173	0.001066569	0.001422092	81	92	173	-0.063583815	0.699421965	0.40297799	none	0	1	0	0
1	29024187	497896	166	0.001148834	0.001495292	90	76	166	0.084337349	1.180722892	0.277208878	none	0	1	0	0
1	29524604	497602	285	0.001267077	0.001779032	87	198	285	-0.389473684	43.23157895	4.86E-11	13	0	0	0	1
1	30025021	498375	227	0.001303236	0.001658891	104	123	227	-0.083700441	1.59030837	0.207282082	none	0	1	0	0
1	30525438	498084	239	0.001329093	0.00179287	141	98	239	0.179916318	7.736401674	0.005411854	23	0	0	1	0
1	31025855	496889	190	0.001126006	0.001651777	89	101	190	-0.063157895	0.757894737	0.383988163	none	0	1	0	0
1	31526272	498224	198	0.001212306	0.001509361	92	106	198	-0.070707071	0.98989899	0.319767063	none	0	1	0	0
1	32026689	497358	249	0.001348123	0.001666305	108	141	249	-0.13253012	4.373493976	0.036502073	none	0	1	0	0
1	32527106	497215	256	0.001201693	0.00182768	107	149	256	-0.1640625	6.890625	0.008664897	13	0	0	0	1
