#chrom	coord	total	dtotal	T12	T34	T1234	DFO_left	DFO_right	DFO_total	DFO_stat	DFO_chisq	DFO_Pvalue	DIL_left	DIL_right	DIL_total	DIL_stat	DIL_chisq	DIL_Pvalue	DFI_left	DFI_right	DFI_total	DFI_stat	DFI_chisq	DFI_Pvalue	DOL_left	DOL_right	DOL_total	DOL_stat	DOL_chisq	DOL_Pvalue	introgression	introgna	intrognone	introg13	introg14	introg23	introg24	introg31	introg41	introg32	introg42	introg123	introg124
SIM0	0	10000	1425.0	0.0273	0.03245	0.030325	590.0	264.0	854.0	0.381733021077	124.444964871	0.0	472.0	382.0	854.0	0.105386416862	9.48477751756	0.00207183737196	470.0	245.0	715.0	0.314685314685	70.8041958042	0.0	352.0	363.0	715.0	-0.0153846153846	0.169230769231	0.680796354083	13	0	0	1	0	0	0	0	0	0	0	0	0
SIM1	10000	10000	1408.0	0.02595	0.03055	0.02885	637.0	218.0	855.0	0.490058479532	205.334502924	0.0	509.0	346.0	855.0	0.190643274854	31.0748538012	2.48266931457e-08	476.0	233.0	709.0	0.342736248237	83.2849083216	0.0	348.0	361.0	709.0	-0.0183356840621	0.238363892807	0.625390302807	13	0	0	1	0	0	0	0	0	0	0	0	0
SIM2	20000	10000	1408.0	0.02715	0.0307	0.029875	584.0	247.0	831.0	0.405535499398	136.665463297	0.0	459.0	372.0	831.0	0.104693140794	9.1083032491	0.00254451791241	469.0	253.0	722.0	0.299168975069	64.620498615	8.881784197e-16	344.0	378.0	722.0	-0.0470914127424	1.60110803324	0.205746256938	13	0	0	1	0	0	0	0	0	0	0	0	0
SIM3	30000	10000	1381.0	0.02695	0.0299	0.028975	613.0	207.0	820.0	0.49512195122	201.019512195	0.0	499.0	321.0	820.0	0.217073170732	38.6390243902	5.09891795453e-10	479.0	230.0	709.0	0.35119887165	87.4485190409	0.0	365.0	344.0	709.0	0.0296191819464	0.622002820874	0.430303997558	13	0	0	1	0	0	0	0	0	0	0	0	0
SIM4	40000	10000	1517.0	0.02935	0.03305	0.03175	653.0	253.0	906.0	0.441501103753	176.600441501	0.0	514.0	392.0	906.0	0.134657836645	16.4282560706	5.0526417271e-05	527.0	237.0	764.0	0.379581151832	110.078534031	0.0	388.0	376.0	764.0	0.0157068062827	0.188481675393	0.664183321493	13	0	0	1	0	0	0	0	0	0	0	0	0
SIM5	50000	10000	1428.0	0.0292	0.02985	0.030325	545.0	264.0	809.0	0.347342398022	97.6032138443	0.0	437.0	372.0	809.0	0.0803461063041	5.22249690977	0.02229651449	520.0	249.0	769.0	0.352405721717	95.5019505852	0.0	412.0	357.0	769.0	0.0715214564369	3.93368010403	0.0473282669114	none	0	1	0	0	0	0	0	0	0	0	0	0
SIM6	60000	10000	1418.0	0.02765	0.0322	0.030925	577.0	261.0	838.0	0.377088305489	119.159904535	0.0	461.0	377.0	838.0	0.100238663484	8.4200477327	0.00371106050602	481.0	243.0	724.0	0.328729281768	78.2375690608	0.0	365.0	359.0	724.0	0.00828729281768	0.0497237569061	0.823544656193	13	0	0	1	0	0	0	0	0	0	0	0	0
SIM7	70000	10000	1385.0	0.0266	0.03015	0.029075	606.0	226.0	832.0	0.456730769231	173.557692308	0.0	466.0	366.0	832.0	0.120192307692	12.0192307692	0.000526544289648	465.0	250.0	715.0	0.300699300699	64.6503496503	8.881784197e-16	325.0	390.0	715.0	-0.0909090909091	5.90909090909	0.0150629432539	13	0	0	1	0	0	0	0	0	0	0	0	0
SIM8	80000	10000	1488.0	0.0307	0.031	0.0317	580.0	260.0	840.0	0.380952380952	121.904761905	0.0	463.0	377.0	840.0	0.102380952381	8.80476190476	0.00300445349066	520.0	273.0	793.0	0.311475409836	76.9344262295	0.0	403.0	390.0	793.0	0.016393442623	0.213114754098	0.644336968814	13	0	0	1	0	0	0	0	0	0	0	0	0
SIM9	90000	10000	1521.0	0.0309	0.0323	0.0321	629.0	251.0	880.0	0.429545454545	162.368181818	0.0	503.0	377.0	880.0	0.143181818182	18.0409090909	2.16208586852e-05	540.0	263.0	803.0	0.34495641345	95.5529265255	0.0	414.0	389.0	803.0	0.0311332503113	0.778331257783	0.377651986809	13	0	0	1	0	0	0	0	0	0	0	0	0
SIM10	100000	10000	1439.0	0.02815	0.03135	0.03065	589.0	262.0	851.0	0.384253819036	125.650998825	0.0	458.0	393.0	851.0	0.0763807285546	4.96474735605	0.0258690939251	494.0	249.0	743.0	0.329744279946	80.7873485868	0.0	363.0	380.0	743.0	-0.0228802153432	0.388963660834	0.532844649135	none	0	1	0	0	0	0	0	0	0	0	0	0
SIM11	110000	10000	1412.0	0.02705	0.03145	0.02975	608.0	243.0	851.0	0.428907168038	156.551116334	0.0	475.0	376.0	851.0	0.116333725029	11.5170387779	0.000689611557205	482.0	232.0	714.0	0.350140056022	87.5350140056	0.0	349.0	365.0	714.0	-0.0224089635854	0.358543417367	0.549316299085	13	0	0	1	0	0	0	0	0	0	0	0	0
SIM12	120000	10000	1476.0	0.0291	0.0318	0.03135	610.0	260.0	870.0	0.402298850575	140.804597701	0.0	497.0	373.0	870.0	0.142528735632	17.6735632184	2.62246213283e-05	490.0	275.0	765.0	0.281045751634	60.4248366013	7.66053886991e-15	377.0	388.0	765.0	-0.0143790849673	0.158169934641	0.690847032582	13	0	0	1	0	0	0	0	0	0	0	0	0
SIM13	130000	10000	1461.0	0.02715	0.0317	0.030525	613.0	279.0	892.0	0.374439461883	125.062780269	0.0	486.0	406.0	892.0	0.0896860986547	7.17488789238	0.00739310675571	486.0	250.0	736.0	0.320652173913	75.6739130435	0.0	359.0	377.0	736.0	-0.0244565217391	0.440217391304	0.507017548503	13	0	0	1	0	0	0	0	0	0	0	0	0
SIM14	140000	10000	1423.0	0.02805	0.02955	0.02955	594.0	238.0	832.0	0.427884615385	152.326923077	0.0	462.0	370.0	832.0	0.110576923077	10.1730769231	0.00142506256199	515.0	238.0	753.0	0.36786188579	101.897742364	0.0	383.0	370.0	753.0	0.0172642762284	0.224435590969	0.635680806596	13	0	0	1	0	0	0	0	0	0	0	0	0
SIM15	150000	10000	1408.0	0.028	0.0285	0.0289	608.0	211.0	819.0	0.484737484737	192.440781441	0.0	478.0	341.0	819.0	0.167277167277	22.916971917	1.69151721108e-06	496.0	255.0	751.0	0.320905459387	77.3382157124	0.0	366.0	385.0	751.0	-0.0252996005326	0.48069241012	0.488108850598	13	0	0	1	0	0	0	0	0	0	0	0	0
SIM16	160000	10000	1458.0	0.02765	0.03135	0.03025	634.0	244.0	878.0	0.444191343964	173.234624146	0.0	478.0	400.0	878.0	0.0888382687927	6.92938496583	0.0084790842183	511.0	245.0	756.0	0.351851851852	93.5925925926	0.0	355.0	401.0	756.0	-0.0608465608466	2.79894179894	0.0943265430182	13	0	0	1	0	0	0	0	0	0	0	0	0
SIM17	170000	10000	1437.0	0.0292	0.03	0.0306	556.0	261.0	817.0	0.361077111383	106.517747858	0.0	436.0	381.0	817.0	0.0673194614443	3.70257037944	0.054328713672	498.0	268.0	766.0	0.300261096606	69.0600522193	1.11022302463e-16	378.0	388.0	766.0	-0.0130548302872	0.130548302872	0.717864215818	none	0	1	0	0	0	0	0	0	0	0	0	0
SIM18	180000	10000	1404.0	0.0281	0.02935	0.029625	579.0	238.0	817.0	0.417380660955	142.326805386	0.0	452.0	365.0	817.0	0.106487148103	9.26438188494	0.00233653321942	491.0	251.0	742.0	0.323450134771	77.628032345	0.0	364.0	378.0	742.0	-0.0188679245283	0.264150943396	0.607282635649	13	0	0	1	0	0	0	0	0	0	0	0	0
SIM19	190000	10000	1365.0	0.02765	0.02815	0.0283	580.0	210.0	790.0	0.46835443038	173.291139241	0.0	442.0	348.0	790.0	0.118987341772	11.1848101266	0.000824696951246	468.0	261.0	729.0	0.283950617284	58.7777777778	1.76525460915e-14	330.0	399.0	729.0	-0.0946502057613	6.53086419753	0.0106018435685	13	0	0	1	0	0	0	0	0	0	0	0	0
SIM20	200000	10000	1465.0	0.02965	0.0298	0.030475	606.0	241.0	847.0	0.43093270366	157.290436836	0.0	484.0	363.0	847.0	0.142857142857	17.2857142857	3.2159555632e-05	502.0	270.0	772.0	0.300518134715	69.7202072539	1.11022302463e-16	380.0	392.0	772.0	-0.0155440414508	0.186528497409	0.665821762546	13	0	0	1	0	0	0	0	0	0	0	0	0
SIM21	210000	10000	1478.0	0.0281	0.0329	0.03125	628.0	265.0	893.0	0.406494960806	147.557670773	0.0	499.0	394.0	893.0	0.11758118701	12.3460246361	0.00044192652415	506.0	236.0	742.0	0.363881401617	98.2479784367	0.0	377.0	365.0	742.0	0.0161725067385	0.194070080863	0.659550494868	13	0	0	1	0	0	0	0	0	0	0	0	0
