#chrom	pos	AAAA	AABA	ABAA	ABBA	BAAA	BABA	BBAA	BBBA	BBBA
SIM0	0	3994	177	157	20	161	3	2	10	10
SIM1	0	4006	153	172	20	172	2	9	13	13
SIM2	0	3953	153	187	37	150	5	4	7	7
SIM3	0	3985	180	153	18	181	4	3	11	11
SIM4	0	3971	159	152	23	172	2	3	9	9
SIM5	0	3955	154	161	31	171	5	3	6	6
SIM6	0	3955	154	150	27	171	7	6	13	13
SIM7	0	3926	171	167	28	174	3	6	13	13
SIM8	0	3996	134	193	40	138	8	4	5	5
SIM9	0	4008	175	152	17	156	5	7	2	2
SIM10	0	3925	153	173	26	178	3	2	8	8
SIM11	0	3957	172	170	27	159	5	9	16	16
SIM12	0	3963	160	157	31	167	2	3	5	5
SIM13	0	4013	169	168	23	154	2	3	9	9
SIM14	0	3938	165	170	40	176	4	3	3	3
SIM15	0	3886	156	194	33	201	4	0	11	11
SIM16	0	3904	161	156	44	170	2	4	10	10
SIM17	0	3951	162	166	31	160	2	9	9	9
SIM18	0	3947	156	168	41	156	5	5	6	6
SIM19	0	3941	146	165	37	175	2	12	12	12
SIM20	0	3982	157	163	23	165	5	1	4	4
SIM21	0	3950	169	187	29	165	3	4	11	11
SIM22	0	3947	186	157	27	147	6	5	2	2
SIM23	0	3973	147	198	17	172	3	7	8	8
SIM24	0	3960	183	166	42	163	3	4	7	7
SIM25	0	3935	151	170	25	173	8	4	14	14
SIM26	0	3975	194	148	16	177	2	6	2	2
SIM27	0	3965	147	165	31	155	1	1	10	10
SIM28	0	3934	169	163	45	154	10	5	11	11
SIM29	0	3952	153	172	28	163	6	6	8	8
SIM30	0	3957	168	164	21	166	3	1	4	4
SIM31	0	3927	184	167	28	163	14	2	19	19
SIM32	0	3957	167	160	44	175	6	7	7	7
SIM33	0	3885	175	181	27	182	9	0	12	12
SIM34	0	3959	174	202	13	157	6	7	7	7
SIM35	0	3938	159	181	30	170	3	0	7	7
SIM36	0	3967	187	154	28	175	7	2	11	11
SIM37	0	3908	165	160	20	197	2	6	10	10
SIM38	0	3963	161	168	36	150	3	3	6	6
SIM39	0	3876	181	182	29	186	6	6	11	11
SIM40	0	4009	158	154	44	168	2	7	4	4
SIM41	0	3957	142	161	25	176	4	2	15	15
SIM42	0	3933	170	174	35	179	8	5	14	14
SIM43	0	3930	152	181	41	177	3	3	20	20
SIM44	0	3925	175	161	13	181	2	5	10	10
SIM45	0	3907	154	189	24	157	5	3	13	13
SIM46	0	3947	183	155	26	157	4	11	15	15
SIM47	0	3928	168	172	37	157	6	8	5	5
SIM48	0	3925	168	182	33	169	6	2	10	10
SIM49	0	3920	182	183	42	164	1	5	7	7
SIM50	0	3927	170	156	31	192	2	1	8	8
SIM51	0	3921	192	167	35	165	1	10	12	12
SIM52	0	3940	159	164	42	163	1	1	11	11
SIM53	0	3921	186	185	27	174	6	0	2	2
SIM54	0	3958	165	171	31	184	2	5	11	11
SIM55	0	3911	151	173	29	173	1	3	13	13
SIM56	0	3976	184	158	33	181	7	9	3	3
SIM57	0	3981	154	147	28	178	4	1	5	5
SIM58	0	3981	159	157	24	159	2	10	18	18
SIM59	0	4003	153	155	24	178	4	8	4	4
SIM60	0	3982	166	157	36	158	5	5	10	10
SIM61	0	3984	175	149	29	157	2	4	7	7
SIM62	0	4055	153	158	32	158	8	5	4	4
SIM63	0	3990	177	164	25	162	7	5	9	9
SIM64	0	3978	148	188	18	152	3	8	3	3
SIM65	0	3980	141	156	36	175	2	4	11	11
SIM66	0	3954	161	175	43	163	6	3	6	6
SIM67	0	3953	152	174	30	163	2	3	15	15
SIM68	0	3934	158	165	30	179	3	2	14	14
SIM69	0	3979	174	168	18	167	5	2	6	6
SIM70	0	3959	160	157	29	148	5	3	18	18
SIM71	0	3927	169	195	24	180	4	2	12	12
SIM72	0	3895	168	172	44	185	1	1	2	2
SIM73	0	3929	175	161	30	159	2	4	10	10
SIM74	0	4041	162	162	16	160	1	2	4	4
SIM75	0	3983	137	165	33	161	3	3	12	12
SIM76	0	3957	173	171	27	171	5	7	5	5
SIM77	0	3983	146	170	26	170	2	1	8	8
SIM78	0	3900	174	153	22	181	11	12	2	2
SIM79	0	3956	161	182	23	191	7	2	8	8
SIM80	0	3950	143	156	36	179	1	5	13	13
SIM81	0	3982	155	156	25	171	4	11	10	10
SIM82	0	3929	167	193	28	190	6	4	10	10
SIM83	0	3905	170	146	37	181	11	1	18	18
SIM84	0	3962	160	169	39	163	4	2	7	7
SIM85	0	3978	154	180	30	165	4	0	9	9
SIM86	0	4001	181	155	28	161	5	2	6	6
SIM87	0	3971	181	168	25	153	4	4	5	5
SIM88	0	3884	156	176	19	170	13	13	14	14
SIM89	0	3951	161	195	31	177	9	2	5	5
SIM90	0	3966	131	180	19	172	4	6	11	11
SIM91	0	3939	187	169	31	180	4	3	13	13
SIM92	0	3889	180	188	34	172	5	8	15	15
SIM93	0	3893	176	178	19	172	3	5	17	17
SIM94	0	3970	173	162	25	159	1	5	5	5
SIM95	0	4003	182	161	22	155	7	8	11	11
SIM96	0	3934	205	184	21	132	2	5	13	13
SIM97	0	3883	186	184	37	189	5	4	11	11
SIM98	0	3973	156	163	33	181	1	4	7	7
SIM99	0	3941	154	162	34	190	5	3	9	9
SIM100	0	3994	166	167	36	149	4	1	10	10
SIM101	0	3952	151	156	32	178	2	9	9	9
SIM102	0	3944	166	156	30	174	6	4	26	26
SIM103	0	3939	172	166	32	158	4	4	3	3
SIM104	0	4008	150	151	19	182	4	8	10	10
SIM105	0	3957	179	165	32	166	4	5	9	9
SIM106	0	4009	149	154	32	165	1	6	17	17
SIM107	0	3890	170	162	46	169	8	5	7	7
SIM108	0	3936	182	195	39	164	3	6	3	3
SIM109	0	3956	163	155	44	160	1	0	4	4
SIM110	0	3875	157	157	38	173	3	6	16	16
SIM111	0	4002	168	165	31	155	7	0	7	7
SIM112	0	3925	210	165	23	176	1	16	5	5
SIM113	0	3950	170	149	27	165	5	5	10	10
SIM114	0	3960	176	175	44	169	6	8	11	11
SIM115	0	3972	158	166	31	175	8	2	10	10
SIM116	0	3966	177	189	21	168	9	8	13	13
SIM117	0	3920	161	164	41	156	7	7	8	8
SIM118	0	3925	177	176	36	159	8	5	11	11
SIM119	0	3932	163	180	22	154	1	1	6	6
SIM120	0	3934	151	170	31	181	4	7	12	12
SIM121	0	3925	159	191	39	186	5	3	11	11
SIM122	0	3952	193	169	34	148	13	1	2	2
SIM123	0	4008	167	174	38	163	2	0	11	11
SIM124	0	3975	165	157	31	164	5	7	5	5
SIM125	0	3901	198	179	23	180	14	6	8	8
SIM126	0	3937	151	182	19	196	2	1	1	1
SIM127	0	3924	170	172	23	174	2	3	6	6
SIM128	0	3932	163	180	24	154	2	7	15	15
SIM129	0	3921	169	175	33	179	6	8	14	14
SIM130	0	3899	178	164	44	161	8	5	9	9
SIM131	0	3971	167	158	32	185	1	7	17	17
SIM132	0	4008	169	147	15	175	6	3	4	4
SIM133	0	3954	149	180	30	165	2	7	2	2
SIM134	0	3978	161	175	28	162	3	3	4	4
SIM135	0	3935	194	175	30	158	3	6	9	9
SIM136	0	3868	177	178	38	181	3	4	32	32
SIM137	0	3991	153	177	14	159	7	6	14	14
SIM138	0	3884	201	155	35	213	1	1	7	7
SIM139	0	3931	164	180	24	166	9	3	18	18
SIM140	0	3949	172	177	25	176	10	5	8	8
SIM141	0	3985	185	180	17	152	3	2	2	2
SIM142	0	3918	184	158	20	175	10	7	5	5
SIM143	0	4011	148	153	29	179	1	4	5	5
SIM144	0	3925	197	188	19	166	4	7	4	4
SIM145	0	4014	178	176	27	159	1	4	11	11
SIM146	0	3974	148	142	33	185	13	5	8	8
SIM147	0	3931	176	175	28	188	2	1	2	2
SIM148	0	3969	154	175	24	151	1	9	16	16
SIM149	0	3906	169	183	42	155	1	3	8	8
SIM150	0	3986	180	194	19	145	8	4	8	8
SIM151	0	3954	181	167	36	158	2	1	1	1
SIM152	0	3965	178	155	43	174	7	8	10	10
SIM153	0	3985	167	178	30	174	2	4	7	7
SIM154	0	3938	158	174	31	176	18	9	16	16
SIM155	0	4009	171	165	22	135	7	3	6	6
SIM156	0	3946	160	178	29	159	5	3	8	8
SIM157	0	3982	191	193	18	161	1	3	13	13
SIM158	0	3929	181	171	22	150	1	2	7	7
SIM159	0	3994	160	141	37	164	1	7	4	4
SIM160	0	3976	151	173	31	176	2	9	13	13
SIM161	0	3954	176	168	29	152	7	8	10	10
SIM162	0	3891	175	168	19	197	8	2	6	6
SIM163	0	3921	145	175	36	191	3	1	8	8
SIM164	0	3978	144	161	32	189	1	4	14	14
SIM165	0	3941	177	148	40	181	3	5	8	8
SIM166	0	3952	161	178	36	177	12	3	9	9
SIM167	0	3923	182	162	38	184	0	1	15	15
SIM168	0	3962	169	152	32	174	4	6	16	16
SIM169	0	3891	204	188	24	175	7	8	12	12
SIM170	0	3965	171	158	34	167	4	3	8	8
SIM171	0	3933	141	171	26	173	1	3	8	8
SIM172	0	3976	155	177	24	179	7	2	10	10
SIM173	0	3947	155	158	54	185	2	2	11	11
SIM174	0	3994	146	147	30	187	9	6	18	18
SIM175	0	3962	179	187	20	160	5	3	10	10
SIM176	0	3944	179	154	30	139	3	4	5	5
SIM177	0	3929	171	151	30	192	2	5	7	7
SIM178	0	3943	172	184	30	164	4	7	6	6
SIM179	0	3912	193	160	44	176	6	2	8	8
SIM180	0	3969	144	133	47	166	2	5	7	7
SIM181	0	3932	152	169	34	173	4	5	11	11
SIM182	0	4001	165	160	29	142	4	5	7	7
SIM183	0	3959	157	172	20	153	5	2	9	9
SIM184	0	4016	164	171	32	129	2	8	13	13
SIM185	0	3952	164	164	25	177	5	2	2	2
SIM186	0	4009	151	184	40	153	1	8	6	6
SIM187	0	3961	155	178	47	173	2	1	10	10
SIM188	0	3940	185	168	26	160	3	4	8	8
SIM189	0	3916	176	192	23	170	8	5	9	9
SIM190	0	3951	165	172	18	172	3	8	4	4
SIM191	0	3982	151	170	22	169	3	6	6	6
SIM192	0	3966	178	163	29	140	3	2	8	8
SIM193	0	3895	175	178	22	165	5	7	11	11
SIM194	0	4023	152	167	27	174	2	5	14	14
SIM195	0	3981	161	151	33	174	3	9	7	7
SIM196	0	3954	173	156	33	148	1	2	2	2
SIM197	0	3944	188	160	30	166	6	2	18	18
SIM198	0	3984	165	150	24	172	1	3	6	6
SIM199	0	3945	174	180	26	178	5	0	11	11
SIM200	0	3967	158	156	27	185	2	2	7	7
SIM201	0	3911	140	189	50	179	8	13	10	10
SIM202	0	3967	192	147	27	173	4	12	11	11
SIM203	0	3917	167	164	49	189	3	5	5	5
SIM204	0	4011	148	154	30	159	2	7	2	2
SIM205	0	3924	166	172	22	194	9	7	7	7
SIM206	0	3956	161	174	22	191	2	5	8	8
SIM207	0	3977	166	194	25	141	4	4	3	3
SIM208	0	3955	184	165	34	175	7	4	11	11
SIM209	0	3974	147	166	34	155	3	0	7	7
SIM210	0	3963	170	180	16	175	3	4	10	10
SIM211	0	3935	188	176	29	166	2	8	6	6
SIM212	0	3966	170	149	16	164	4	6	6	6
SIM213	0	3977	149	182	23	150	2	0	14	14
SIM214	0	3996	135	163	23	140	3	4	5	5
SIM215	0	4014	131	166	40	168	1	1	9	9
SIM216	0	3935	160	160	32	183	4	7	22	22
SIM217	0	3940	156	180	46	160	5	0	9	9
SIM218	0	3921	186	144	48	175	3	4	6	6
SIM219	0	3933	159	159	45	185	0	3	11	11
SIM220	0	4018	163	161	30	159	5	6	8	8
SIM221	0	3957	172	181	26	168	3	3	15	15
SIM222	0	3873	190	163	26	172	2	3	6	6
SIM223	0	3961	172	171	22	160	7	8	2	2
SIM224	0	3985	180	169	15	158	3	4	1	1
SIM225	0	3976	174	169	21	171	1	3	5	5
SIM226	0	3966	169	174	34	193	1	3	20	20
SIM227	0	3899	166	171	43	157	3	5	6	6
SIM228	0	3984	166	172	14	165	5	5	7	7
SIM229	0	4051	162	154	18	151	2	4	12	12
SIM230	0	3971	179	184	39	159	2	4	7	7
SIM231	0	3970	165	168	21	190	2	0	8	8
SIM232	0	3965	156	169	18	170	7	7	12	12
SIM233	0	3979	160	161	29	212	10	1	8	8
SIM234	0	3943	167	144	28	180	6	6	8	8
SIM235	0	3941	179	167	27	203	3	4	4	4
SIM236	0	3957	147	178	12	184	5	6	16	16
SIM237	0	3906	190	144	36	154	14	13	16	16
SIM238	0	3946	212	166	24	176	11	6	10	10
SIM239	0	3963	184	159	23	170	1	3	9	9
SIM240	0	3910	166	182	24	166	3	6	10	10
SIM241	0	3918	175	169	19	156	5	6	22	22
SIM242	0	4006	183	155	29	158	1	4	7	7
SIM243	0	3983	174	153	22	180	11	2	5	5
SIM244	0	3952	185	174	14	168	2	2	5	5
SIM245	0	3993	166	168	30	162	4	2	9	9
SIM246	0	4004	162	163	16	176	6	2	5	5
SIM247	0	3923	167	176	30	188	3	1	3	3
SIM248	0	4009	172	165	28	139	6	2	9	9
SIM249	0	4001	148	155	20	152	3	2	9	9
SIM250	0	3935	188	177	26	152	3	4	10	10
SIM251	0	3924	173	180	36	155	12	2	17	17
SIM252	0	3949	169	180	31	160	3	3	10	10
SIM253	0	3891	178	155	24	193	4	8	13	13
SIM254	0	3966	169	181	16	172	0	5	32	32
SIM255	0	3960	181	173	18	169	3	3	4	4
SIM256	0	3937	169	177	41	167	2	2	5	5
SIM257	0	3953	157	160	32	174	2	0	2	2
SIM258	0	3992	170	159	36	142	4	1	13	13
SIM259	0	3991	166	155	25	152	12	0	11	11
SIM260	0	3955	188	141	28	168	5	2	6	6
SIM261	0	4044	161	157	22	168	4	3	15	15
SIM262	0	3955	161	168	29	171	2	4	6	6
SIM263	0	3924	172	186	50	178	13	3	10	10
SIM264	0	3952	174	166	41	142	4	2	12	12
SIM265	0	3942	173	166	43	171	12	5	15	15
SIM266	0	4030	167	163	35	155	7	5	5	5
SIM267	0	3942	170	161	21	168	7	7	10	10
SIM268	0	3965	146	158	35	163	10	5	6	6
SIM269	0	3953	166	178	13	148	8	15	8	8
SIM270	0	3872	172	160	28	176	4	5	9	9
SIM271	0	3962	193	161	21	154	4	1	3	3
SIM272	0	3963	172	172	35	171	4	4	10	10
SIM273	0	3889	162	180	34	171	3	5	14	14
SIM274	0	3944	166	160	28	167	8	8	24	24
SIM275	0	3990	147	161	25	167	1	6	10	10
SIM276	0	3943	176	176	19	173	5	6	7	7
SIM277	0	4003	172	150	15	171	5	6	8	8
SIM278	0	3925	171	167	19	152	9	4	8	8
SIM279	0	3923	174	196	22	163	9	10	3	3
SIM280	0	3916	163	168	24	168	1	1	6	6
SIM281	0	3951	155	145	39	156	4	2	16	16
SIM282	0	4021	185	165	21	147	6	4	9	9
SIM283	0	3901	188	164	44	149	6	8	11	11
SIM284	0	3948	176	172	33	156	6	4	15	15
SIM285	0	3952	166	155	30	166	9	5	7	7
SIM286	0	3970	172	157	24	140	3	8	11	11
SIM287	0	3992	177	166	39	153	1	4	13	13
SIM288	0	3911	172	169	27	196	4	5	13	13
SIM289	0	3986	157	148	23	168	3	5	5	5
SIM290	0	3930	192	171	36	159	2	1	6	6
SIM291	0	3919	160	167	20	175	0	9	10	10
SIM292	0	3943	178	160	35	170	3	4	8	8
SIM293	0	3901	202	170	36	169	6	5	12	12
SIM294	0	3950	167	162	22	168	2	6	2	2
SIM295	0	3945	185	157	36	180	1	5	9	9
SIM296	0	3931	155	172	18	173	5	3	10	10
SIM297	0	3926	170	181	30	170	4	3	5	5
SIM298	0	3942	187	167	21	195	3	6	12	12
SIM299	0	3957	180	177	25	165	8	10	5	5
SIM300	0	4028	170	179	20	128	3	1	2	2
SIM301	0	3966	163	174	29	193	5	8	14	14
SIM302	0	3923	168	165	26	183	7	8	7	7
SIM303	0	4047	148	152	32	152	3	7	12	12
SIM304	0	4003	150	168	15	178	9	4	4	4
SIM305	0	4009	155	133	46	171	5	2	4	4
SIM306	0	3914	174	162	28	180	6	5	8	8
SIM307	0	3978	170	171	42	153	4	2	12	12
SIM308	0	3939	171	182	24	177	3	2	5	5
SIM309	0	3887	183	169	37	165	9	0	11	11
SIM310	0	3928	173	194	19	161	9	6	13	13
SIM311	0	3989	155	179	29	154	2	2	9	9
SIM312	0	3929	175	176	26	171	5	6	12	12
SIM313	0	3931	163	156	49	158	1	1	12	12
SIM314	0	3878	160	179	30	164	8	2	14	14
SIM315	0	3996	158	158	37	183	9	3	5	5
SIM316	0	3962	151	160	31	158	4	4	11	11
SIM317	0	3945	173	194	18	159	9	6	9	9
SIM318	0	3918	184	156	25	164	5	8	12	12
SIM319	0	3965	157	185	40	188	3	5	13	13
SIM320	0	3945	167	175	32	155	8	4	11	11
SIM321	0	3902	190	171	36	187	10	5	10	10
SIM322	0	3996	180	151	33	167	3	5	2	2
SIM323	0	3904	142	173	16	211	5	11	10	10
SIM324	0	3938	176	199	26	169	4	5	4	4
SIM325	0	3966	176	156	35	166	1	4	14	14
SIM326	0	3967	184	154	23	167	1	2	14	14
SIM327	0	3913	161	168	41	170	8	6	13	13
SIM328	0	3942	177	163	44	176	2	7	16	16
SIM329	0	3969	179	171	32	197	1	3	12	12
SIM330	0	3955	171	162	13	171	2	1	6	6
SIM331	0	3879	163	192	53	154	11	1	8	8
SIM332	0	3941	170	168	34	162	1	2	5	5
SIM333	0	3925	182	184	23	178	8	6	12	12
SIM334	0	3949	174	185	18	161	1	9	20	20
SIM335	0	3953	204	190	18	143	3	6	7	7
SIM336	0	3989	141	181	39	162	6	1	3	3
SIM337	0	3967	171	144	35	178	7	2	9	9
SIM338	0	3893	186	181	36	155	4	8	7	7
SIM339	0	3956	163	163	38	134	1	3	16	16
SIM340	0	3979	164	171	22	165	8	7	7	7
SIM341	0	3947	139	153	42	186	6	3	21	21
SIM342	0	3953	164	171	23	165	2	2	6	6
SIM343	0	3973	158	148	31	170	4	2	5	5
SIM344	0	3968	182	170	26	152	6	2	7	7
SIM345	0	3979	159	163	15	165	6	7	15	15
SIM346	0	3989	161	176	29	167	4	1	6	6
SIM347	0	3961	146	171	23	169	6	5	9	9
SIM348	0	3930	155	161	24	172	5	7	9	9
SIM349	0	3885	178	173	25	181	6	12	11	11
SIM350	0	3962	155	156	24	173	5	4	8	8
SIM351	0	3974	161	163	32	176	0	9	10	10
SIM352	0	3901	152	179	41	170	1	1	14	14
SIM353	0	3956	164	156	34	153	2	3	6	6
SIM354	0	3926	170	178	39	175	3	2	20	20
SIM355	0	4003	181	170	23	182	3	7	5	5
SIM356	0	3952	170	180	19	162	2	2	10	10
SIM357	0	3940	163	175	13	166	3	4	20	20
SIM358	0	3972	158	173	25	155	5	1	21	21
SIM359	0	3907	162	216	33	166	8	1	2	2
SIM360	0	3967	163	171	33	159	4	8	10	10
SIM361	0	3918	167	160	43	180	2	1	11	11
SIM362	0	3960	170	172	29	165	7	5	11	11
SIM363	0	3939	165	165	34	173	2	1	6	6
SIM364	0	3969	148	163	22	165	3	16	5	5
SIM365	0	3981	136	169	19	167	7	4	9	9
SIM366	0	3948	158	182	40	182	3	7	10	10
SIM367	0	3928	155	185	24	191	3	1	15	15
SIM368	0	3968	144	161	31	181	1	8	7	7
SIM369	0	3841	187	178	34	183	17	0	6	6
SIM370	0	4006	147	162	42	169	8	5	16	16
SIM371	0	3986	156	165	32	173	2	2	8	8
SIM372	0	3918	163	160	57	190	3	3	13	13
SIM373	0	3916	173	197	37	162	5	5	14	14
SIM374	0	3926	191	196	18	161	4	7	8	8
SIM375	0	4040	160	130	19	156	4	7	8	8
SIM376	0	3947	166	167	31	187	7	4	4	4
SIM377	0	3938	150	167	41	187	6	3	11	11
SIM378	0	3914	152	210	38	173	3	6	13	13
SIM379	0	3885	168	166	40	193	6	2	11	11
SIM380	0	3964	149	154	39	176	9	10	8	8
SIM381	0	3932	176	177	30	149	5	8	8	8
SIM382	0	4005	141	155	32	131	3	5	7	7
SIM383	0	4013	164	156	30	188	3	2	3	3
SIM384	0	3951	179	162	26	160	9	4	5	5
SIM385	0	3974	172	165	11	174	16	2	3	3
SIM386	0	3925	182	173	29	174	3	2	4	4
SIM387	0	3971	148	162	33	177	3	1	6	6
SIM388	0	3938	177	165	44	174	2	13	3	3
SIM389	0	3941	182	168	27	173	4	1	7	7
SIM390	0	3905	178	167	38	184	3	6	17	17
SIM391	0	3915	167	179	29	171	11	9	11	11
SIM392	0	3999	165	174	28	151	6	7	11	11
SIM393	0	3918	181	166	25	169	5	5	12	12
SIM394	0	3960	173	153	33	174	4	5	9	9
SIM395	0	3959	152	164	38	177	6	3	5	5
SIM396	0	3958	162	172	34	175	9	10	15	15
SIM397	0	4006	171	141	26	158	4	4	8	8
SIM398	0	3978	154	152	34	176	9	5	8	8
SIM399	0	3972	170	166	36	182	1	6	9	9
SIM400	0	3888	162	188	36	170	2	7	16	16
SIM401	0	3998	170	159	32	184	4	2	7	7
SIM402	0	3921	161	179	19	178	9	4	9	9
SIM403	0	3956	161	173	28	160	6	4	17	17
SIM404	0	4032	150	164	31	162	8	0	15	15
SIM405	0	3965	176	161	32	161	6	5	3	3
SIM406	0	3934	176	168	32	165	4	7	8	8
SIM407	0	3918	167	155	37	176	4	7	8	8
SIM408	0	3935	156	174	32	161	2	1	12	12
SIM409	0	3920	165	168	32	163	6	2	3	3
SIM410	0	3950	183	190	35	142	3	8	7	7
SIM411	0	3977	182	169	26	179	4	3	7	7
SIM412	0	3947	196	151	35	163	2	6	11	11
SIM413	0	3860	174	171	34	192	5	2	14	14
SIM414	0	3954	163	175	21	194	7	9	8	8
SIM415	0	3881	152	190	20	176	12	6	17	17
SIM416	0	3869	197	203	29	184	10	4	7	7
SIM417	0	3997	167	154	20	149	13	3	11	11
