#chrom	pos	AAAA	AABA	ABAA	ABBA	BAAA	BABA	BBAA	BBBA	Other
1	1	496887	1547	2761	359	2725	360	425	2510	3213
1	500000	497502	584	1665	35	1438	62	104	1398	2697
1	999999	497435	503	1604	27	1281	126	51	1194	2291
1	1499998	498623	588	1824	144	1567	118	23	1117	1910
1	1999997	497757	571	1784	74	1384	188	31	1164	1708
1	2499996	498255	717	1887	56	1509	130	163	1363	1899
1	2999995	497870	675	1642	46	1397	118	99	1283	1981
1	3499994	498496	619	1520	71	1386	93	59	1158	1570
1	3999993	497993	626	1753	41	1352	143	125	1098	1916
1	4499992	498278	616	1518	75	1435	49	45	1326	1742
1	4999991	498098	873	1775	59	1462	122	166	1044	1949
1	5499990	498109	783	1582	100	1474	112	221	933	1885
1	5999989	497946	750	1610	112	1493	131	108	1244	2038
1	6499988	497661	904	1663	75	1469	88	229	1133	2413
1	6999987	497622	852	1433	138	1398	156	116	1188	2262
1	7499986	498001	865	1803	118	1489	179	160	1314	2069
1	7999985	497767	825	1565	87	1398	72	113	1124	2156
1	8499984	498207	732	1626	146	1542	149	168	1062	1976
1	8999983	497515	753	1550	134	1436	126	146	1248	2365
1	9499982	497759	796	1561	203	1480	86	152	1210	2271
1	9999981	497653	870	1624	160	1475	146	216	1241	2418
1	10499980	497199	838	1640	155	1484	137	133	1202	2643
1	10999979	497664	882	1644	126	1443	197	187	1284	2343
1	11499978	497899	741	1614	140	1416	195	122	1326	2115
1	11999977	497713	887	1587	182	1601	193	150	1284	2322
1	12499976	497847	876	1706	115	1526	165	121	1260	2234
1	12999975	497883	802	1767	173	1681	151	160	1153	1988
1	13499974	498115	726	1894	65	1585	175	121	1073	1906
1	13999973	498152	755	1707	78	1449	117	102	1002	1902
1	14499972	497991	725	1598	165	1408	85	116	727	1947
1	14999971	498105	798	1939	137	1628	174	170	988	1868
1	15499970	498397	754	1685	158	1629	133	134	1073	1809
1	15999969	497355	902	1672	146	1589	191	160	1546	2460
1	16499968	497953	781	1873	142	1625	236	160	1032	2038
1	16999967	497269	875	1923	116	1565	177	155	1124	2733
1	17499966	497780	882	1970	101	1621	189	144	1077	2217
1	17999965	497609	915	1777	167	1592	128	156	982	2438
1	18499964	498054	684	1802	114	1472	108	105	1159	1919
1	18999963	498105	674	1613	72	1408	111	100	1058	1938
1	19499962	498571	806	1616	133	1515	168	117	1071	1530
1	19999961	498166	716	1676	96	1434	177	117	985	1731
1	20499960	497999	816	1771	130	1522	203	153	1244	1930
1	20999959	497881	798	1830	102	1445	212	141	1079	2164
1	21499958	498098	764	1668	119	1499	212	154	1206	1994
1	21999957	497857	781	1703	125	1356	143	153	1069	2173
1	22499956	498067	831	1742	158	1547	143	173	1092	1908
1	22999955	497803	860	1882	195	1594	201	157	1308	2072
1	23499954	497521	721	1719	101	1430	155	117	1334	2567
1	23999953	497708	746	1735	115	1446	218	162	1444	2356
1	24499952	496281	861	1845	148	1485	319	167	1402	3787
1	24999951	497510	803	1825	110	1537	241	140	1205	2289
1	25499950	497875	808	1857	133	1607	203	127	1088	2149
1	25999949	497830	780	1757	102	1537	168	175	984	2143
1	26499948	497921	749	1768	129	1537	128	118	1170	2080
1	26999947	497938	827	1819	106	1616	152	161	1131	2037
1	27499946	497870	764	1692	127	1471	133	160	1229	2175
1	27999945	497724	650	1585	70	1399	106	44	1395	2224
1	28499944	498090	663	1580	65	1437	108	115	1174	1919
1	28999943	498128	725	1619	159	1364	107	99	968	1959
1	29499942	497797	844	1689	171	1631	156	178	1081	2112
1	29999941	498448	828	1774	155	1511	133	127	948	1711
1	30499940	498095	829	1737	114	1594	164	151	903	2186
1	30999939	497352	698	1607	108	1500	127	118	1158	2255
1	31499938	498344	781	1693	116	1488	89	125	995	1643
1	31999937	497844	814	1619	117	1445	136	111	1331	2212
1	32499936	497434	798	1617	122	1585	145	137	1303	2510
1	32999935	497580	727	1616	96	1339	148	132	1151	2387
1	33499934	497589	798	1614	130	1449	130	171	1439	2476
1	33999933	498330	701	1650	71	1395	136	154	1025	1693
1	34499932	498002	926	1617	69	1384	85	224	914	1975
1	34999931	498185	864	1594	53	1521	74	128	727	1868
1	35499930	497548	729	1525	111	1471	137	176	1009	2423
1	35999929	497956	933	1744	104	1550	100	222	1026	1954
1	36499928	498118	935	1715	130	1610	148	194	1180	1990
1	36999927	497803	780	1504	71	1382	83	138	1050	2091
1	37499926	498118	777	1604	115	1460	100	239	1100	2200
1	37999925	497900	1003	1575	67	1413	75	217	888	1927
1	38499924	497756	824	1774	138	1521	173	239	1158	2203
1	38999923	498109	792	1642	95	1620	124	190	747	1889
1	39499922	497950	781	1634	128	1562	80	118	1304	1950
1	39999921	498086	683	1587	52	1376	91	140	1054	2078
1	40499920	497842	1077	1773	84	1646	122	262	1182	2012
1	40999919	498199	862	1723	93	1541	88	228	938	1795
1	41499918	497617	778	1687	109	1420	135	133	1000	2363
1	41999917	498195	643	1564	124	1474	105	69	1106	1811
1	42499916	497937	774	1607	102	1442	108	133	945	2062
1	42999915	498224	700	1508	86	1499	96	109	944	1977
1	43499914	497518	814	1624	104	1379	183	178	1037	2290
1	43999913	498185	790	1660	115	1543	128	160	992	1950
1	44499912	497786	760	1655	153	1509	153	110	1014	2094
1	44999911	498379	750	1633	103	1509	142	123	1096	1717
1	45499910	498065	775	1710	84	1517	128	146	1110	1890
1	45999909	498085	708	1577	49	1353	73	127	1164	1860
1	46499908	498193	622	1657	37	1340	95	72	1083	1810
1	46999907	498189	711	1870	78	1517	313	142	1165	1859
1	47499906	497916	669	1648	354	1558	71	97	759	2181
1	47999905	497707	786	1723	105	1464	137	136	1153	2287
1	48499904	498393	723	1782	78	1478	109	105	1195	1856
1	48999903	497412	836	1737	182	1608	127	151	1241	2178
1	49499902	497769	699	1736	160	1521	115	129	1310	2311
1	49999901	498002	752	1663	218	1615	137	114	1331	1949
1	50499900	497768	676	1606	141	1624	78	69	1226	2249
1	50999899	498258	647	1600	181	1500	67	74	1081	1962
1	51499898	498107	713	1480	76	1327	77	105	952	1835
1	51999897	497965	745	1766	137	1618	132	113	1258	1960
1	52499896	497529	811	1722	140	1420	153	118	1268	2338
