scaffold,position,start,end,midpoint,sites,sitesOverMinExD,ABBA,BABA,D,fG,fhom,fd
HE669515,2500,1,5001,552,743,NA,NA,NA,NA,NA,NA,NA
HE669513,2500,1,5001,2501,4960,4876,6.2239312066,4.11759440104,0.203677569971,0.638048908756,0.16780000922,0.119566868833
HE669513,7500,5001,10001,7501,4968,4888,7.10723198785,6.4889594184,0.0454739530337,0.0930133855697,0.062313177119,0.0442141855785
HE669513,12500,10001,15001,10518,974,NA,NA,NA,NA,NA,NA,NA
HE669511,2500,1,5001,2567,3109,2651,0.883246527778,0.802517361111,0.0478887744593,0.0833333333333,0.0613861386139,0.0284577723378
HE669511,7500,5001,10001,7501,4682,4536,4.04692925347,4.17496744792,-0.0155728293719,-0.0119220821209,-0.0107786181446,-0.00805032133062
HE669511,12500,10001,15001,12132,4065,3718,4.29421657986,4.26253255208,0.00370281134683,0.00221037970084,0.0018505999662,0.00169677341877
HE669511,17500,15001,20001,NA,0,NA,NA,NA,NA,NA,NA,NA
HE669509,2500,1,5001,1024,1278,222,0.0,0.0,NA,NA,NA,NA
HE669509,7500,5001,10001,NA,0,NA,NA,NA,NA,NA,NA,NA
HE669507,2500,1,5001,2582,4451,3716,4.82486979167,5.53841145833,-0.0688528709637,-0.366310160428,-0.143056038984,-0.0735296310101
HE669507,7500,5001,10001,7501,4974,4890,8.37065972222,6.552734375,0.121817150668,0.256177370031,0.170941740639,0.117817210098
HE669507,12500,10001,15001,12501,4950,4924,8.60385018808,6.04265227141,0.174867544231,0.423192771084,0.255921704121,0.146264081729
HE669507,17500,15001,20001,15007,12,NA,NA,NA,NA,NA,NA,NA
HE669505,2500,1,5001,2518,3415,2489,6.10441984954,3.5894458912,0.259439734941,0.528888280394,0.399974690243,0.294418521937
HE669505,7500,5001,10001,6986,3578,2956,1.46899414062,0.620035807292,0.406388780678,-1.69791666667,-1.88076923077,0.848958333333
HE669505,12500,10001,15001,NA,0,NA,NA,NA,NA,NA,NA,NA
HE669503,2500,1,5001,1834,1867,1668,0.496961805556,0.632378472222,-0.119907763259,-0.224137931034,-0.106581644272,-0.0723003244245
HE669503,7500,5001,10001,NA,0,NA,NA,NA,NA,NA,NA,NA
HE669501,2500,1,5001,2501,4080,3313,10.6947337963,10.2607060185,0.0207119383613,0.0507459656957,0.0416285072017,0.030459481275
HE669501,7500,5001,10001,7501,4953,4770,11.0246310764,11.9790581597,-0.041490174621,-0.0744767323715,-0.0640824513942,-0.0464492416881
HE669501,12500,10001,15001,12348,4562,4469,13.8025535301,15.4745008681,-0.0571077716776,-0.282499755549,-0.171900101148,-0.111571843713
HE669501,17500,15001,20001,NA,0,NA,NA,NA,NA,NA,NA,NA
HE669499,2500,1,5001,2532,4351,4018,3.34859664352,5.04304108796,-0.201920590314,-0.817420435511,-0.347609295699,-0.220353332957
