#chrom	pos	AAAA	AABA	ABAA	ABBA	BAAA	BABA	BBAA	BBBA	Dcub	D-stat	ChiSq
1	1	496648	498	426	153	493	144	109	1078	2.78265E-05	0.03030303	0.272727273
1	500418	495316	778	164	65	812	43	59	1491	0.008452726	0.203703704	4.481481481
1	1000835	494954	713	164	103	783	23	56	1251	0.255951881	0.634920635	50.79365079
1	1501252	496318	905	197	88	823	32	206	1075	0.10162963	0.466666667	26.13333333
1	2001669	495248	764	248	185	791	27	92	1127	0.413965052	0.745283019	117.754717
1	2502086	495493	806	297	51	794	114	135	1367	-0.055663411	-0.381818182	24.05454545
1	3002503	495778	734	286	64	669	74	107	1265	-0.000380507	-0.072463768	0.724637681
1	3502920	496088	663	268	74	605	55	67	1112	0.003195153	0.147286822	2.798449612
1	4003337	495706	729	387	54	804	137	92	1071	-0.082060503	-0.434554974	36.06806283
1	4503754	496010	631	198	74	723	30	59	1276	0.075728266	0.423076923	18.61538462
1	5004171	495418	721	428	112	813	95	108	1072	0.000553906	0.082125604	1.396135266
1	5504588	495693	846	308	101	741	84	201	984	0.000775946	0.091891892	1.562162162
1	6005005	495248	876	388	109	797	103	172	1154	2.26697E-05	0.028301887	0.169811321
1	6505422	495206	780	418	110	811	128	144	1200	-0.0004326	-0.075630252	1.361344538
1	7005839	494552	871	412	123	791	110	173	1151	0.000173685	0.055793991	0.725321888
1	7506256	495013	887	388	135	837	153	181	1220	-0.000244141	-0.0625	1.125
1	8006673	495208	764	368	80	792	87	106	1082	-7.36452E-05	-0.041916168	0.293413174
1	8507090	495234	890	484	179	882	165	179	1011	6.74076E-05	0.040697674	0.569767442
1	9007507	494416	936	459	94	878	183	135	1118	-0.033168873	-0.321299639	28.59566787
1	9507924	494711	871	433	135	872	149	203	1134	-0.000119792	-0.049295775	0.690140845
1	10008341	494625	864	501	139	857	159	199	1281	-0.000302302	-0.067114094	1.342281879
1	10508758	494108	934	417	163	990	137	178	1112	0.000650963	0.086666667	2.253333333
1	11009175	494525	887	469	181	861	128	176	1309	0.005046057	0.171521036	9.090614887
1	11509592	494742	864	531	125	915	205	153	1203	-0.014247155	-0.242424242	19.39393939
1	12010009	494718	1043	389	138	872	192	230	1126	-0.004381668	-0.163636364	8.836363636
1	12510426	494705	873	523	159	868	93	183	1180	0.017965123	0.261904762	17.28571429
1	13010843	494902	883	475	128	765	109	235	1122	0.000515247	0.080168776	1.523206751
1	13511260	495260	864	378	136	950	113	125	996	0.000788108	0.092369478	2.124497992
1	14011677	495623	808	340	97	802	66	182	924	0.006878952	0.190184049	5.895705521
1	14512094	495668	823	328	72	722	68	260	671	2.33236E-05	0.028571429	0.114285714
1	15012511	495432	947	398	90	852	86	269	982	1.17393E-05	0.022727273	0.090909091
1	15512928	495272	960	456	90	843	111	219	930	-0.001140433	-0.104477612	2.194029851
1	16013345	493521	1005	539	163	918	169	155	1511	-5.90255E-06	-0.018072289	0.108433735
1	16513762	495089	989	421	150	890	162	174	954	-5.68958E-05	-0.038461538	0.461538462
1	17014179	494056	1014	491	118	943	130	220	1029	-0.000113289	-0.048387097	0.580645161
1	17514596	494915	947	461	114	992	134	161	1021	-0.000524487	-0.080645161	1.612903226
1	18015013	494396	1044	501	88	861	114	243	921	-0.002132387	-0.128712871	3.346534653
1	18515430	495177	865	402	71	840	77	205	1141	-6.66298E-05	-0.040540541	0.243243243
1	19015847	496001	871	327	39	709	63	176	1036	-0.013026664	-0.235294118	5.647058824
1	19516264	495334	855	398	109	775	113	151	971	-5.84953E-06	-0.018018018	0.072072072
1	20016681	495751	782	346	76	824	85	158	918	-0.000174683	-0.055900621	0.50310559
1	20517098	494845	870	443	135	966	131	183	1209	3.40044E-06	0.015037594	0.060150376
1	21017515	494864	962	375	119	872	85	243	1056	0.00462963	0.166666667	5.666666667
1	21517932	495034	979	397	90	758	115	295	1161	-0.001813671	-0.12195122	3.048780488
1	22018349	495208	820	412	50	783	122	306	960	-0.073352032	-0.418604651	30.13953488
1	22518766	495849	944	397	86	732	91	284	1133	-2.25419E-05	-0.028248588	0.141242938
1	23019183	493622	984	425	112	776	111	368	1287	9.01748E-08	0.004484305	0.004484305
1	23519600	494666	889	345	73	763	109	253	1370	-0.007739151	-0.197802198	7.120879121
1	24020017	494375	938	414	128	861	115	284	1514	0.000153113	0.053497942	0.695473251
1	24520434	493154	1255	422	80	851	132	388	1406	-0.014757149	-0.245283019	12.75471698
1	25020851	494199	957	507	110	899	155	199	1057	-0.00489666	-0.169811321	7.641509434
1	25521268	494843	990	460	103	814	97	258	972	0.000027	0.03	0.18
1	26021685	495088	933	393	96	794	130	232	871	-0.003404955	-0.150442478	5.115044248
1	26522102	495092	862	436	94	811	82	222	1001	0.000316961	0.068181818	0.818181818
1	27022519	494883	906	438	120	918	132	144	1051	-0.00010798	-0.047619048	0.571428571
1	27522936	494955	802	400	159	882	140	157	1148	0.000256594	0.063545151	1.20735786
1	28023353	495095	824	274	48	751	33	143	1354	0.006350658	0.185185185	2.777777778
1	28523770	495738	797	356	81	706	92	88	1005	-0.000257063	-0.063583815	0.699421965
1	29024187	495669	753	363	90	781	76	164	899	0.000599874	0.084337349	1.180722892
1	29524604	494916	944	431	87	830	198	196	1011	-0.059079166	-0.389473684	43.23157895
1	30025021	495845	830	475	104	824	123	174	796	-0.000586386	-0.083700441	1.59030837
1	30525438	495397	959	444	141	880	98	165	858	0.00582387	0.179916318	7.736401674
1	31025855	494498	917	317	89	802	101	165	1079	-0.000251932	-0.063157895	0.757894737
1	31526272	495918	741	393	92	815	106	159	880	-0.000353499	-0.070707071	0.98989899
1	32026689	494781	842	452	108	889	141	145	1177	-0.00232779	-0.13253012	4.373493976
1	32527106	494544	1035	408	107	787	149	185	1106	-0.004415989	-0.1640625	6.890625
1	33027523	494575	884	485	105	875	144	152	1056	-0.00384234	-0.156626506	6.108433735
1	33527940	494437	837	437	155	906	136	157	1366	0.000278344	0.065292096	1.240549828
1	34028357	496040	743	323	109	768	118	127	994	-6.23232E-05	-0.039647577	0.356828194
1	34528774	495734	671	278	115	696	69	99	966	0.015625	0.25	11.5
1	35029191	496689	786	355	104	710	98	98	627	2.62059E-05	0.02970297	0.178217822
1	35529608	494485	875	304	125	759	80	138	986	0.010577328	0.219512195	9.87804878
1	36030025	495330	880	467	100	788	124	154	934	-0.001229956	-0.107142857	2.571428571
1	36530442	494994	913	542	138	853	164	142	1114	-0.000638115	-0.086092715	2.238410596
1	37030859	495311	779	409	107	774	94	127	972	0.000270546	0.064676617	0.84079602
1	37531276	495015	757	374	183	843	125	129	1149	0.006677776	0.188311688	10.92207792
1	38031693	495707	710	368	120	769	90	79	946	0.002915452	0.142857143	4.285714286
1	38532110	494820	872	522	169	868	191	186	1175	-0.000228224	-0.061111111	1.344444444
1	39032527	495602	900	450	153	782	160	88	715	-1.11856E-05	-0.022364217	0.156549521
1	39532944	495155	790	379	111	743	158	125	1188	-0.0053338	-0.17472119	8.211895911
1	40033361	495515	779	295	79	721	72	60	1042	9.96238E-05	0.046357616	0.324503311
1	40533778	494845	877	465	127	862	174	184	1174	-0.003807098	-0.156146179	7.338870432
1	41034195	495449	856	424	94	861	140	120	931	-0.007596717	-0.196581197	9.042735043
1	41534612	494958	834	388	126	862	84	145	984	0.008	0.2	8.4
1	42035029	495779	807	319	82	730	59	146	951	0.004340364	0.163120567	3.75177305
